Tag No,Old No,T1,T2,X,Y,Family,genus,species,Old Tree Notes,"D 2013.1","POM 2013.1","F1 2013.1","F2 2013.1","Height 2013.1","F5 2013.1","F3 2013.1","F4 2013.1","LI 2013.1","CI 2013.1","Census Notes 2013.1","D 2014.2","POM 2014.2",F1,F2,"Height 2014.2",F5,F3,F4,"LI 2014.2","CI 2014.2",Tree ID,"D 2015.1","POM 2015.1",F1,F2,"Height 2015.1",F5,F3,F4,"LI 2015.1","CI 2015.1",Census Notes,Tree ID,New Tag No
130,,4,,,,Cunoniaceae,Weinmannia,fagaroides,,326,1300,a,1,11,4,0,0,0,1,,330,1300,a,1,,,0,0,,,1105512,335,1300,a,1,11000,,0,0,1,4,,1105512,
131,,4,,,,Clethraceae,Clethra,cuneata,,176,1300,a,1,11,4,0,0,0,1,,183,1300,ah,1,,,0,0,,,1105513,186,1300,ah,1,10000,,0,0,1,4,,1105513,
132,,4,131,,,Clethraceae,Clethra,cuneata,,450,1300,a,1,12,4,0,0,0,1,,457,1300,ah,1,,,0,0,,,1105514,461,1300,ah,1,7000,,0,0,0,3b,,1105514,
133,,4,,,,Melastomataceae,Miconia,setulosa,,168,1300,a,1,6,4,0,0,0,1,,172,1300,c,1,,,0,0,,,1105515,174,1300,ch,1,6000,,0,0,0,2b,,1105515,
134,,4,133,,,Melastomataceae,Miconia,setulosa,,126,1300,a,1,6,4,0,0,0,1,,130,1300,ch,1,,,0,0,,,1105516,133,1300,ch,1,5000,,0,0,0,2a,,1105516,
135,,4,,,,Lauraceae,Persea,ruizii,,120,1300,a,1,4,4,0,0,0,1,,120,1300,0,mru,,,0,0,,,1105517,0,1300,0,mru,0,,0,0,,,,1105517,
136,,4,,,,Symplocaceae,Symplocos,quitensis,,157,1300,a,1,7.5,4,0,0,0,1,,163,1300,a,1,,,0,0,,,1105518,162,1300,a,1,7000,,0,0,1,2a,,1105518,
137,,4,,,,Cunoniaceae,Weinmannia,fagaroides,,339,1300,a,1,6,4,0,0,0,1,,346,1300,a,1,,,0,0,,,1105519,344,1300,b,1,6000,,0,0,0,3a,b=5000,1105519,
138,,4,,,,Melastomataceae,Miconia,indet,,110,1300,a,1,5,4,0,0,0,1,,110,1300,ch,1,,,0,0,,,1105520,89,1300,ch,1,5000,,0,0,0,2a,,1105520,
139,,4,,,,Melastomataceae,Miconia,indet,,126,1300,a,1,7,4,0,0,0,1,,126,1300,ch,1,,,0,0,,,1105521,127,1300,d,1,6000,,0,0,0,2a,,1105521,
140,,4,,,,Symplocaceae,Symplocos,psiloclada,,167,1300,a,1,9,4,0,0,0,1,,0,1300,0,kru,,,0,0,,,1105522,0,1300,0,kru,0,,0,0,,,,1105522,
141,,5,,,,Cunoniaceae,Weinmannia,fagaroides,,156,1300,a,1,7,4,0,0,0,1,,257,1300,a,1,,,0,0,,,1105523,157,1300,c,1,9000,,0,0,0,3b,,1105523,
142,,5,,,,Cunoniaceae,Weinmannia,fagaroides,,167,1300,a,1,6,4,0,0,0,1,,0,1300,0,mru,,,0,0,,,1105524,0,1300,0,mru,0,,0,0,,,,1105524,
143,,5,,,,Melastomataceae,Miconia,setulosa,,110,1300,a,1,6,4,0,0,0,1,,113,1300,c,1,,,0,0,,,1105525,116,1300,c,1,3000,,0,0,0,2a,,1105525,
144,,5,,,,Cunoniaceae,Weinmannia,fagaroides,,170,1300,a,1,12,4,0,0,0,1,,170,1300,a,1,,,0,0,,,1105526,171,1300,a,1,11000,,0,0,1,3b,,1105526,
145,,5,,,,Cunoniaceae,Weinmannia,fagaroides,,208,1300,a,1,12,4,0,0,0,1,,209,1300,a,1,,,0,0,,,1105527,214,1300,a,1,9000,,0,0,1,2b,,1105527,
146,,5,,,,Cunoniaceae,Weinmannia,fagaroides,,162,1300,a,1,12,4,0,0,0,1,,165,1300,a,1,,,0,0,,,1105528,166,1300,a,1,8000,,0,0,1,2c,,1105528,
147,,5,,,,Melastomataceae,Miconia,setulosa,,157,1300,a,1,6,4,0,0,0,1,,160,1300,c,1,,,0,0,,,1105529,164,1300,c,1,7000,,0,0,0,2a,,1105529,
148,,5,,,,Melastomataceae,Miconia,setulosa,,126,1300,a,1,6,4,0,0,0,1,,132,1300,a,1,,,0,0,,,1105530,135,1300,c,1,6000,,0,0,0,2a,,1105530,
149,,5,,,,Cunoniaceae,Weinmannia,fagaroides,,113,1300,a,1,9,4,0,0,0,1,,116,1300,a,1,,,0,0,,,1105531,0,1300,0,k,0,,0,0,,,,1105531,
150,,5,,,,Cunoniaceae,Weinmannia,fagaroides,,139,1300,a,1,7,4,0,0,0,1,,149,1300,d,1,,,0,0,,,1105532,139,1300,c,1,7000,,0,0,1,2b,,1105532,
151,,5,150,,,Cunoniaceae,Weinmannia,fagaroides,,125,1300,a,1,6,4,0,0,0,1,,138,1300,d,1,,,0,0,,,1105533,126,1300,c,1,7000,,0,0,0,2a,,1105533,
152,,5,,,,Cunoniaceae,Weinmannia,fagaroides,,174,1300,a,1,6,4,0,0,0,1,,174,1300,c,1,,,0,0,,,1105534,179,1300,c,1,7000,,0,0,1,2b,,1105534,
153,,5,,,,Clethraceae,Clethra,cuneata,,251,1300,a,1,13,4,0,0,0,1,,256,1300,a,1,,,0,0,,,1105535,256,1300,a,1,7000,,0,0,2,4,,1105535,
154,,5,,,,Symplocaceae,Symplocos,psiloclada,,134,1300,a,1,6,4,0,0,0,1,,134,1300,c,1,,,0,0,,,1105536,135,1300,b,1,2500,,0,0,0,2a,b=2000,1105536,
155,,5,,,,Symplocaceae,Symplocos,quitensis,,229,1300,a,1,8,4,0,0,0,1,,349,1300,c,1,,,0,0,,,1105537,212,1300,c,1,8000,,0,0,1,3b,,1105537,
156,,5,,,,Cunoniaceae,Weinmannia,auriculata,,325,1300,a,1,20,4,0,0,0,1,,0,1300,0,iru,,,0,0,,,1105538,0,1300,0,lru,0,,0,0,,,,1105538,
157,,5,,,,Melastomataceae,Miconia,indet,,204,1300,a,1,7,4,0,0,0,1,,221,1300,d,1,,,0,0,,,1105539,207,1300,db,1,7500,,0,0,0,3a,b=5000,1105539,
158,,5,,,,Melastomataceae,Miconia,indet,,192,1300,a,1,8,4,0,0,0,1,,195,1300,a,1,,,0,0,,,1105540,107,1300,a,1,10000,,0,0,1,3b,,1105540,
159,,5,,,,Melastomataceae,Miconia,indet,,178,1300,a,1,9,4,0,0,0,1,,202,1300,a,1,,,0,0,,,1105541,184,1300,a,1,10000,,0,0,1,3b,,1105541,
160,,5,,,,Clethraceae,Clethra,cuneata,,118,1300,a,1,12,4,0,0,0,1,,118,1300,d,1,,,0,0,,,1105542,118,1300,d,1,10000,,0,0,0,2a,,1105542,
161,,5,,,,Cunoniaceae,Weinmannia,fagaroides,,136,1300,a,1,3.5,4,0,0,0,1,,135,1300,c,1,,,0,0,,,1105543,137,1300,b,1,7000,,0,0,0,2a,b=7000,1105543,
162,,5,,,,Symplocaceae,Symplocos,quitensis,,172,1300,a,1,10,4,0,0,0,1,,172,1300,a,1,,,0,0,,,1105544,182,1300,a,1,9000,,0,0,0,3b,,1105544,
163,,5,,,,Melastomataceae,Miconia,indet,,308,1300,a,1,9,4,0,0,0,1,,312,1300,a,1,,,0,0,,,1105545,323,1300,a,1,8000,,0,0,2,4,,1105545,
164,,5,,,,Melastomataceae,Miconia,indet,,178,1300,a,1,7,4,0,0,0,1,,174,1300,a,1,,,0,0,,,1105546,179,1300,a,1,7000,,0,0,3,2c,,1105546,
165,,5,164,,,Melastomataceae,Miconia,indet,,124,1300,a,1,7,4,0,0,0,1,,123,1300,a,1,,,0,0,,,1105547,126,1300,a,1,7000,,0,0,2,3a,,1105547,
166,,5,,,,Symplocaceae,Symplocos,quitensis,,133,1300,a,1,6,4,0,0,0,1,,0,1300,0,kru,,,0,0,,,1105548,0,1300,0,kru,0,,0,0,,,,1105548,
167,,5,,,,Melastomataceae,Miconia,indet,,355,1300,a,1,13,4,0,0,0,1,,362,1300,a,1,,,0,0,,,1105549,363,1300,a,1,11000,,0,0,0,3a,,1105549,
168,,5,167,,,Melastomataceae,Miconia,indet,,314,1300,a,1,13,4,0,0,0,1,,314,1300,a,1,,,0,0,,,1105550,317,1300,a,1,10000,,0,0,0,3b,,1105550,
169,,5,,,,Symplocaceae,Symplocos,quitensis,,119,1300,a,1,7,4,0,0,0,1,,119,1300,a,1,,,0,0,,,1105551,124,1300,a,1,9000,,0,0,0,3b,,1105551,
170,,5,,,,Melastomataceae,Miconia,setulosa,,182,1300,a,1,8,4,0,0,0,1,,185,1300,c,1,,,0,0,,,1105552,192,1300,c,1,7000,,0,0,0,2a,,1105552,
171,,5,170,,,Melastomataceae,Miconia,setulosa,,179,1300,a,1,8,4,0,0,0,1,,180,1300,c,1,,,0,0,,,1105553,184,1300,c,1,6000,,0,0,0,2a,,1105553,
172,,5,170,,,Melastomataceae,Miconia,setulosa,,111,1300,a,1,4,4,0,0,0,1,,110,1300,c,1,,,0,0,,,1105554,113,1300,c,1,4000,,0,0,0,2a,,1105554,
173,,5,170,,,Melastomataceae,Miconia,setulosa,,173,1300,a,1,9,4,0,0,0,1,,174,1300,a,1,,,0,0,,,1105555,173,1300,a,1,7000,,0,0,0,3a,,1105555,
174,,5,170,,,Melastomataceae,Miconia,setulosa,,126,1300,a,1,6,4,0,0,0,1,,125,1300,c,1,,,0,0,,,1105556,131,1300,c,1,5000,,0,0,0,3a,,1105556,
175,,5,,,,Polygalaceae,Monnina,indet,,111,1300,a,1,18,4,0,0,0,1,,115,1300,a,1,,,0,0,,,1105557,0,1300,0,1,0,,0,0,,,es liana,1105557,
176,,5,,,,Clethraceae,Clethra,indet,,595,1300,a,1,13,4,0,0,0,1,,609,1300,a,1,,,0,0,,,1105558,602,1300,c,1,13000,,0,0,2,4,,1105558,
177,,5,,,,Melastomataceae,Miconia,indet,,125,1300,a,1,6,4,0,0,0,1,,125,1300,c,1,,,0,0,,,1105559,0,1300,0,bps,,,0,0,,,,1105559,
178,,5,,,,Cunoniaceae,Weinmannia,fagaroides,,153,1300,a,1,8,4,0,0,0,1,,146,1300,a,1,,,0,0,,,1105560,149,1300,c,1,9000,,0,0,0,2a,,1105560,
179,,5,,,,Melastomataceae,Miconia,setulosa,,233,1300,a,1,9,4,0,0,0,1,,0,1300,0,mru,,,0,0,,,1105561,0,1300,0,mru,0,,0,0,,,,1105561,
180,,5,,,,Asteraceae,Pentacalia,indet,,115,1300,a,1,15,4,0,0,0,1,,128,1300,a,1,,,0,0,,,1105562,0,1300,0,1,0,,0,0,,,es liana,1105562,
181,,5,,,,Melastomataceae,Miconia,indet,,195,1300,a,1,8,4,0,0,0,1,,195,1300,d,1,,,0,0,,,1105563,202,1300,c,1,6000,,0,0,1,3b,,1105563,
182,,5,,,,Cunoniaceae,Weinmannia,auriculata,,191,1300,a,1,8,4,0,0,0,1,,202,1300,c,1,,,0,0,,,1105564,198,1300,c,1,7000,,0,0,0,2b,,1105564,
183,,6,,,,Melastomataceae,Miconia,indet,,453,1300,a,1,8.5,4,0,0,0,1,,463,1300,a,1,,,0,0,,,1105565,456,1300,c,1,6000,,0,0,0,3b,,1105565,
184,,6,,,,Chloranthaceae,Hedyosmum,indet,,169,1300,a,1,9,4,0,0,0,1,,179,1300,a,1,,,0,0,,,1105566,188,1300,c,1,6000,,0,0,1,3a,,1105566,
185,,6,,,,Chloranthaceae,Hedyosmum,indet,,104,1300,a,1,5,4,0,0,0,1,,114,1300,c,1,,,0,0,,,1105567,116,1300,c,1,5000,,0,0,0,2a,,1105567,
186,,6,,,,Melastomataceae,Miconia,indet,,344,1300,a,1,12,4,0,0,0,1,,343,1300,a,1,,,0,0,,,1105568,343,1300,c,1,12000,,0,0,2,3b,,1105568,
187,,6,186,,,Melastomataceae,Miconia,indet,,244,1300,a,1,11,4,0,0,0,1,,247,1300,a,1,,,0,0,,,1105569,244,1300,c,1,12000,,0,0,1,3a,,1105569,
188,,6,,,,Indet,Indet,indet,,143,1300,a,1,6,4,0,0,0,1,,143,1300,ci,1,,,0,0,,,1105570,0,1300,0,bps,0,,0,0,,,,1105570,
189,,6,,,,Symplocaceae,Symplocos,quitensis,,195,1300,a,1,9,4,0,0,0,1,,191,1300,a,1,,,0,0,,,1105571,200,1300,ch,1,7000,,0,0,1,2b,,1105571,
190,,6,189,,,Symplocaceae,Symplocos,quitensis,,225,1300,a,1,10,4,0,0,0,1,,224,1300,a,1,,,0,0,,,1105572,226,1300,ch,1,8000,,0,0,0,2b,,1105572,
191,,6,,,,Melastomataceae,Miconia,indet,,292,1300,a,1,10,4,0,0,0,1,,294,1300,a,1,,,0,0,,,1105573,306,1300,c,1,10000,,0,0,0,3a,,1105573,
192,,6,,,,Asteraceae,Pentacalia,indet,,176,1300,a,1,20,4,0,0,0,1,,177,1300,a,1,,,0,0,,,1105574,0,1300,0,bps,0,,0,0,,,,1105574,
193,,6,,,,Melastomataceae,Miconia,indet,,299,1300,a,1,13,4,0,0,0,1,,315,1300,a,1,,,0,0,,,1105575,311,1300,c,1,8500,,0,0,1,3b,,1105575,
194,,6,,,,Cunoniaceae,Weinmannia,auriculata,,153,1300,a,1,10,4,0,0,0,1,,155,1300,c,1,,,0,0,,,1105576,163,1300,c,1,7000,,0,0,1,3a,,1105576,
195,,6,,,,Cunoniaceae,Weinmannia,auriculata,,125,1300,a,1,6,4,0,0,0,1,,157,1300,c,1,,,0,0,,,1105577,125,1300,d,1,11000,,0,0,0,3a,,1105577,
196,,6,,,,Asteraceae,Pentacalia,indet,,126,1300,a,1,15,4,0,0,0,1,,157,1300,a,1,,,0,0,,,1105578,0,1300,0,1,0,,0,0,,,es liana,1105578,
197,,6,,,,Cunoniaceae,Weinmannia,fagaroides,,210,1300,a,1,11,4,0,0,0,1,,210,1300,a,1,,,0,0,,,1105579,216,1300,a,1,10000,,0,0,3,3b,,1105579,
198,,6,,,,Clethraceae,Clethra,cuneata,,108,1300,a,1,8,4,0,0,0,1,,109,1300,a,1,,,0,0,,,1105580,111,1300,a,1,7000,,0,0,1,2a,,1105580,
199,,6,,,,Clethraceae,Clethra,cuneata,,195,1300,a,1,9,4,0,0,0,1,,199,1300,a,1,,,0,0,,,1105581,206,1300,a,1,9000,,0,0,0,3a,,1105581,
200,,6,,,,Clethraceae,Clethra,cuneata,,193,1300,a,1,9,4,0,0,0,1,,195,1300,a,1,,,0,0,,,1105582,203,1300,a,1,8000,,0,0,0,3a,,1105582,
201,,6,,,,Melastomataceae,Miconia,setulosa,,226,1300,a,1,8,4,0,0,0,1,,227,1300,ch,1,,,0,0,,,1105583,225,1300,ch,1,9000,,0,0,0,2a,,1105583,
202,,6,201,,,Melastomataceae,Miconia,setulosa,,205,1300,a,1,8,4,0,0,0,1,,204,1300,ch,1,,,0,0,,,1105584,203,1300,ch,1,10000,,0,0,0,2b,,1105584,
203,,6,201,,,Melastomataceae,Miconia,setulosa,,157,1300,a,1,9,4,0,0,0,1,,157,1300,ah,1,,,0,0,,,1105585,159,1300,ch,1,6000,,0,0,0,3b,,1105585,
204,,6,,,,Melastomataceae,Miconia,setulosa,,174,1300,a,1,9,4,0,0,0,1,,187,1300,ah,1,,,0,0,,,1105586,189,1300,ah,1,10000,,0,0,0,3b,POM por encima de placa,1105586,
205,,6,204,,,Melastomataceae,Miconia,setulosa,,440,1300,a,1,9,4,0,0,0,1,,445,1300,c,1,,,0,0,,,1105587,439,1300,ch,1,9000,,0,0,0,2a,,1105587,
206,,6,,,,Cunoniaceae,Weinmannia,fagaroides,,211,1300,a,1,7,4,0,0,0,1,,222,1300,c,1,,,0,0,,,1105588,213,1300,c,1,7000,,0,0,0,3b,,1105588,
207,,6,206,,,Cunoniaceae,Weinmannia,fagaroides,,157,1300,a,1,8,4,0,0,0,1,,188,1300,c,1,,,0,0,,,1105589,158,1300,ch,1,9000,,0,0,2,2b,,1105589,
208,,6,,,,Melastomataceae,Miconia,setulosa,,178,1300,a,1,9,4,0,0,0,1,,181,1300,c,1,,,0,0,,,1105590,193,1300,ch,1,8000,,0,0,0,2b,,1105590,
209,,6,208,,,Melastomataceae,Miconia,setulosa,,101,1300,a,1,5,4,0,0,0,1,,102,1300,a,1,,,0,0,,,1105591,111,1300,a,1,6000,,0,0,0,2b,,1105591,
210,,6,,,,Symplocaceae,Symplocos,baehnii,,101,1300,a,1,8,4,0,0,0,1,,104,1300,c,1,,,0,0,,,1105592,103,1300,c,1,7000,,0,0,0,3a,,1105592,
211,,6,,,,Cunoniaceae,Weinmannia,fagaroides,,193,1300,a,1,8,4,0,0,0,1,,206,1300,d,1,,,0,0,,,1105593,204,1300,c,1,7500,,0,0,0,3a,,1105593,
212,,6,,,,Cunoniaceae,Weinmannia,fagaroides,,117,1300,a,1,8.5,4,0,0,0,1,,196,1300,d,1,,,0,0,,,1105594,117,1300,a,1,9000,,0,0,0,3b,,1105594,
213,,6,,,,Clethraceae,Clethra,cuneata,,305,1300,a,1,12,4,0,0,0,1,,352,1300,c,1,,,0,0,,,1105595,347,1300,c,1,11000,,0,0,0,4,,1105595,
214,,6,,,,Clethraceae,Clethra,cuneata,,121,1300,a,1,9,4,0,0,0,1,,124,1300,a,1,,,0,0,,,1105596,125,1300,a,1,5000,,0,0,0,3b,,1105596,
215,,6,,,,Melastomataceae,Miconia,setulosa,,158,1300,a,1,7,4,0,0,0,1,,170,1300,a,1,,,0,0,,,1105597,170,1300,c,1,8000,,0,0,0,3a,,1105597,
216,,6,,,,Clethraceae,Clethra,cuneata,,183,1300,a,1,10,4,0,0,0,1,,177,1300,c,1,,,0,0,,,1105598,183,1300,c,1,11000,,0,0,0,4,,1105598,
217,,6,,,,Cunoniaceae,Weinmannia,fagaroides,,325,1300,a,1,12,4,0,0,0,1,,342,1300,c,1,,,0,0,,,1105599,338,1300,c,1,11000,,0,0,1,3b,,1105599,
218,,6,,,,Melastomataceae,Miconia,setulosa,,100,1300,a,1,5,4,0,0,0,1,,102,1300,c,1,,,0,0,,,1105600,102,1300,c,1,5000,,0,0,0,1,,1105600,
219,,6,218,,,Melastomataceae,Miconia,setulosa,,135,1300,a,1,6,4,0,0,0,1,,138,1300,a,1,,,0,0,,,1105601,140,1300,a,1,6000,,0,0,1,3b,,1105601,
220,,6,,,,Melastomataceae,Miconia,setulosa,,158,1300,a,1,7,4,0,0,0,1,,161,1300,c,1,,,0,0,,,1105602,165,1300,c,1,6000,,0,0,0,1,,1105602,
221,,6,,,,Melastomataceae,Miconia,setulosa,,113,1300,a,1,5,4,0,0,0,1,,115,1300,d,1,,,0,0,,,1105603,116,1300,c,1,5000,,0,0,1,2a,,1105603,
222,,6,,,,Symplocaceae,Symplocos,baehnii,,121,1300,a,1,6,4,0,0,0,1,,122,1300,c,1,,,0,0,,,1105604,121,1300,c,1,6500,,0,0,1,2a,,1105604,
223,,6,,,,Melastomataceae,Miconia,setulosa,,156,1300,a,1,6,4,0,0,0,1,,161,1300,c,1,,,0,0,,,1105605,163,1300,c,1,6000,,0,0,1,3b,,1105605,
224,,6,,,,Clethraceae,Clethra,cuneata,,147,1300,a,1,12,4,0,0,0,1,,151,1300,c,1,,,0,0,,,1105606,153,1300,a,1,11000,,0,0,0,3b,,1105606,
225,,6,,,,Symplocaceae,Symplocos,baehnii,,102,1300,a,1,6,4,0,0,0,1,,101,1300,c,1,,,0,0,,,1105607,112,1300,c,1,5000,,0,0,1,2a,,1105607,
226,,6,,,,Cunoniaceae,Weinmannia,fagaroides,,395,1300,a,1,7,4,0,0,0,1,,397,1300,c,1,,,0,0,,,1105608,410,1300,c,1,12000,,0,0,3,3b,D estimado cubierto por musgo,1105608,
227,,6,,,,Clethraceae,Clethra,cuneata,,252,1300,a,1,8,4,0,0,0,1,,253,1300,a,1,,,0,0,,,1105609,255,1300,a,1,10000,,0,0,0,4,,1105609,
228,,6,,,,Symplocaceae,Symplocos,baehnii,,119,1300,a,1,7,4,0,0,0,1,,117,1300,ch,1,,,0,0,,,1105610,118,1300,ci,1,9000,,0,0,0,1,,1105610,
229,,6,,,,Symplocaceae,Symplocos,quitensis,,203,1300,a,1,9,4,0,0,0,1,,207,1300,c,1,,,0,0,,,1105611,207,1300,c,1,10000,,0,0,0,3a,,1105611,
230,,6,,,,Melastomataceae,Miconia,setulosa,,135,1300,a,1,7,4,0,0,0,1,,139,1300,ch,1,,,0,0,,,1105612,142,1300,cz,1,6000,,0,0,1,2a,,1105612,
231,,6,,,,Melastomataceae,Miconia,setulosa,,110,1300,a,1,9,4,0,0,0,1,,114,1300,c,1,,,0,0,,,1105613,123,1300,c,1,7000,,0,0,0,3a,,1105613,
232,,6,,,,Clethraceae,Clethra,cuneata,,157,1300,a,1,8,4,0,0,0,1,,162,1300,a,1,,,0,0,,,1105614,173,1300,a,1,9000,,0,0,0,4,,1105614,
233,,6,,,,Melastomataceae,Miconia,setulosa,,111,1300,a,1,6,4,0,0,0,1,,123,1300,c,1,,,0,0,,,1105615,113,1300,c,1,5000,,0,0,0,2a,,1105615,
234,,6,,,,Melastomataceae,Miconia,setulosa,,132,1300,a,1,6,4,0,0,0,1,,134,1300,ch,1,,,0,0,,,1105616,135,1300,ci,1,8000,,0,0,0,2a,,1105616,
235,,6,234,,,Melastomataceae,Miconia,setulosa,,107,1300,a,1,6,4,0,0,0,1,,110,1300,ch,1,,,0,0,,,1105617,110,1300,c,1,6000,,0,0,1,1,,1105617,
236,,6,,,,Melastomataceae,Miconia,indet,,324,1300,a,1,10,4,0,0,0,1,,342,1300,a,1,,,0,0,,,1105618,336,1300,a,1,,,0,0,,,,1105618,
237,,6,,,,Melastomataceae,Miconia,indet,,260,1300,a,1,6,4,0,0,0,1,,300,1300,c,1,,,0,0,,,1105619,0,1300,0,1,0,,0,0,,,,1105619,
238,,6,,,,Clethraceae,Clethra,cuneata,,492,1300,a,1,11,4,0,0,0,1,,0,1300,0,kru,,,0,0,,,1105620,492,1300,c,1,15000,,0,0,2,4,,1105620,
239,,7,,,,Clethraceae,Clethra,cuneata,,178,1300,a,1,12,4,0,0,0,1,,182,1300,a,1,,,0,0,,,1105621,175,1300,a,1,12000,,0,0,2,3b,,1105621,
240,,7,,,,Symplocaceae,Symplocos,quitensis,,221,1300,a,1,12,4,0,0,0,1,,224,1300,a,1,,,0,0,,,1105622,223,1300,a,1,13000,,0,0,3,3b,,1105622,
241,,7,,,,Chloranthaceae,Hedyosmum,indet,,346,1300,a,1,12,4,0,0,0,1,,355,1300,c,1,,,0,0,,,1105623,351,1300,ch,1,12000,,0,0,1,3b,,1105623,
242,,7,241,,,Chloranthaceae,Hedyosmum,indet,,305,1300,a,1,12,4,0,0,0,1,,309,1300,d,1,,,0,0,,,1105624,305,1300,b,1,5000,,0,0,0,2a,b=3000,1105624,
243,,7,241,,,Chloranthaceae,Hedyosmum,indet,,356,1300,a,1,12,4,0,0,0,1,,331,1300,a,1,,,0,0,,,1105625,361,1300,c,1,11000,,0,0,0,2b,,1105625,
244,,7,,,,Melastomataceae,Miconia,indet,,116,1300,a,1,5,4,0,0,0,1,,0,1300,0,kqu,,,0,0,,,1105626,0,1300,0,kqu,0,,0,0,,,,1105626,
245,,7,,,,Melastomataceae,Miconia,indet,,134,1300,a,1,5,4,0,0,0,1,,0,1300,0,kqu,,,0,0,,,1105627,0,1300,0,kqu,0,,0,0,,,,1105627,
246,,7,,,,Symplocaceae,Symplocos,quitensis,,112,1300,a,1,6,4,0,0,0,1,,114,1300,a,1,,,0,0,,,1105628,114,1300,a,1,6000,,0,0,0,2b,,1105628,
247,,7,,,,Symplocaceae,Symplocos,quitensis,,125,1300,a,1,12,4,0,0,0,1,,131,1300,c,1,,,0,0,,,1105629,129,1300,c,1,6000,,0,0,0,3a,,1105629,
248,,7,,,,Symplocaceae,Symplocos,quitensis,,145,1300,a,1,12,4,0,0,0,1,,149,1300,c,1,,,0,0,,,1105630,148,1300,c,1,6000,,0,0,0,2b,,1105630,
249,,7,,,,Symplocaceae,Symplocos,quitensis,,101,1300,a,1,12,4,0,0,0,1,,104,1300,c,1,,,0,0,,,1105631,104,1300,ci,1,5000,,0,0,0,2a,,1105631,
250,,7,,,,Symplocaceae,Symplocos,baehnii,,183,1300,a,1,10,4,0,0,0,1,,187,1300,a,1,,,0,0,,,1105632,190,1300,c,1,8000,,0,0,1,3a,,1105632,
251,,7,,,,Cunoniaceae,Weinmannia,fagaroides,,140,1300,a,1,10,4,0,0,0,1,,153,1300,c,1,,,0,0,,,1105633,141,1300,c,1,6000,,0,0,2,2b,,1105633,
252,,7,,,,Clethraceae,Clethra,cuneata,,184,1300,a,1,12,4,0,0,0,1,,182,1300,c,1,,,0,0,,,1105634,193,1300,c,1,7000,,0,0,2,2b,,1105634,
253,,7,,,,Cunoniaceae,Weinmannia,fagaroides,,133,1300,a,1,10,4,0,0,0,1,,133,1300,c,1,,,0,0,,,1105635,134,1300,c,1,7000,,0,0,1,2b,,1105635,
254,,7,,,,Clethraceae,Clethra,cuneata,,293,1300,a,1,5,4,0,0,0,1,,0,1300,0,kqu,,,0,0,,,1105636,0,1300,0,kqu,0,,0,0,,,,1105636,
255,,7,,,,Melastomataceae,Miconia,indet,,134,1300,a,1,5,4,0,0,0,1,,134,1300,c,1,,,0,0,,,1105637,135,1300,a,1,4000,,0,0,2,2a,,1105637,
256,,7,,,,Melastomataceae,Miconia,setulosa,,129,1300,a,1,6,4,0,0,0,1,,128,1300,ch,1,,,0,0,,,1105638,131,1300,c,1,5000,,0,0,1,2b,,1105638,
257,,7,,,,Melastomataceae,Miconia,setulosa,,104,1300,a,1,5,4,0,0,0,1,,104,1300,ch,1,,,0,0,,,1105639,103,1300,c,1,6000,,0,0,1,2b,,1105639,
258,,7,,,,Lauraceae,Persea,ruizii,,110,1300,a,1,7,4,0,0,0,1,,126,1300,a,1,,,0,0,,,1105640,111,1300,a,1,6000,,0,0,0,4,,1105640,
259,,7,,,,Cunoniaceae,Weinmannia,fagaroides,,371,1300,a,1,12,4,0,0,0,1,,372,1300,a,1,,,0,0,,,1105641,394,1300,c,1,12000,,0,0,0,4,,1105641,
260,,7,,,,Clethraceae,Clethra,cuneata,,291,1300,a,1,10,4,0,0,0,1,,0,1300,k,1,,,0,0,,,1105642,297,1300,c,1,11000,,0,0,0,3b,,1105642,
261,,7,,,,Cunoniaceae,Weinmannia,fagaroides,,133,1300,a,1,7,4,0,0,0,1,,133,1300,a,1,,,0,0,,,1105643,144,1300,a,1,10500,,0,0,0,4,,1105643,
262,,7,,,,Asteraceae,Pentacalia,indet,,110,1300,a,1,12,4,0,0,0,1,,115,1300,a,1,,,0,0,,,1105644,0,1300,0,1,0,,0,0,,,es liana,1105644,
263,,7,,,,Symplocaceae,Symplocos,quitensis,,184,1300,a,1,8,4,0,0,0,1,,125,1300,c,1,,,0,0,,,1105645,203,1300,c,1,11000,,0,0,1,4,,1105645,
264,,7,,,,Symplocaceae,Symplocos,quitensis,,354,1300,a,1,9,4,0,0,0,1,,357,1300,a,1,,,0,0,,,1105646,362,1300,c,1,13000,,0,0,2,3b,,1105646,
265,,7,,,,Melastomataceae,Miconia,setulosa,,126,1300,a,1,6,4,0,0,0,1,,0,1300,k,1,,,0,0,,,1105647,132,1300,c,1,6000,,0,0,0,2b,ubicado en transecto de madera,1105647,
266,,7,,,,Symplocaceae,Symplocos,baehnii,,231,1300,a,1,8,4,0,0,0,1,,232,1300,c,1,,,0,0,,,1105648,236,1300,c,1,9000,,0,0,0,3b,,1105648,
267,,7,,,,Symplocaceae,Symplocos,quitensis,,115,1300,a,1,10,4,0,0,0,1,,127,1300,a,1,,,0,0,,,1105649,125,1300,a,1,10000,,0,0,0,2c,,1105649,
