plot_code,sub_plot,tree_tag,year,month,day,dend_pom_height_m,dendrometer_reading_mm,dendrometer_reading_replaced_mm,comments,status_code_aintact_bmoved_cbroken,mortality_aalive_ddead
PAN-02,14,831,2013,6,21,1.75,NA,,,,
PAN-02,14,833,2013,6,21,1.4,-0.5,,,,
PAN-02,14,835,2013,6,21,1.65,NA,,,,
PAN-02,14,836,2013,6,21,1.6,0,,,,
PAN-02,14,837,2013,6,21,1.75,0,,,,
PAN-02,14,838,2013,6,21,3.1,NA,,,,
PAN-02,15,840,2013,6,21,1.5,0.88,,,,
PAN-02,15,842,2013,6,21,1.8,0,,,,
PAN-02,15,843,2013,6,21,2.2,0,,,,
PAN-02,15,846,2013,6,21,1.55,NA,,lost,,
PAN-02,15,847,2013,6,21,1.6,-2.25,,,,
PAN-02,15,847.A,2013,6,21,1.75,NA,,,,
PAN-02,15,850,2013,6,21,1.75,0,,,,
PAN-02,15,851,2013,6,21,1.65,NA,,,,
PAN-02,15,853,2013,6,21,1.4,1.3,,,,
PAN-02,15,855,2013,6,21,1.75,NA,,,,
PAN-02,15,856,2013,6,21,1.45,-0.74,,,,
PAN-02,15,856.2.A,2013,6,21,1.75,NA,,,,
PAN-02,15,858,2013,6,21,1.65,0,,,,
PAN-02,15,861,2013,6,21,1.4,NA,,,,
PAN-02,15,862,2013,6,21,1.6,NA,,,,
PAN-02,15,863,2013,6,21,1.6,-1.16,,,,
PAN-02,16,849,2013,6,21,1.55,0,,,,
PAN-02,16,874,2013,6,21,1.9,NA,,,,
PAN-02,16,875,2013,6,21,1.9,NA,,,,
PAN-02,16,877,2013,6,21,1.8,NA,,,,
PAN-02,16,878,2013,6,21,1.4,NA,,,,
PAN-02,16,880,2013,6,21,1.65,0,,,,
PAN-02,16,881,2013,6,21,1.65,NA,,,,
PAN-02,16,882,2013,6,21,1.65,NA,,,,
PAN-02,16,883,2013,6,21,1.55,0,,,,
PAN-02,16,884,2013,6,21,1.5,0,,,,
PAN-02,16,885,2013,6,21,1.8,0,,,,
PAN-02,16,886,2013,6,21,1.7,-0.91,,,,
PAN-02,16,887,2013,6,21,1.45,NA,,,,
PAN-02,16,888,2013,6,21,1.7,0,,,,
PAN-02,16,889,2013,6,21,1.7,3.74,,,,
PAN-02,16,890,2013,6,21,1.45,NA,,,,
PAN-02,16,892,2013,6,21,1.4,0.54,,,,
PAN-02,16,894,2013,6,21,1.5,0,,,,
PAN-02,17,896,2013,6,21,1.7,-1.61,,,,
PAN-02,17,897,2013,6,21,1.65,0,,,,
PAN-02,17,898,2013,6,21,1.65,0,,,,
PAN-02,17,899,2013,6,21,1.5,0,,,,
PAN-02,17,900,2013,6,21,1.4,0,,,,
PAN-02,17,902,2013,6,21,1.6,0.96,,,,
PAN-02,17,903,2013,6,21,1.9,1.18,,,,
PAN-02,17,904,2013,6,21,1.4,NA,,,,
PAN-02,17,907-A,2013,6,21,1.5,0,,roto,,
PAN-02,17,908,2013,6,21,1.35,NA,,,,
PAN-02,17,909,2013,6,21,1.6,-0.86,,,,
PAN-02,17,910,2013,6,21,1.4,NA,,,,
PAN-02,17,907-B,2013,6,21,1.35,NA,,,,
PAN-02,18,911,2013,6,21,1.6,NA,,,,
PAN-02,18,913,2013,6,21,1.8,-2.33,,,,
PAN-02,18,915,2013,6,21,1.45,0,,,,
PAN-02,18,917,2013,6,21,2,0.48,,,,
PAN-02,18,918,2013,6,21,1.45,NA,,,,
PAN-02,18,919,2013,6,21,1.4,0,,,,
PAN-02,18,920,2013,6,21,1.9,NA,,,,
PAN-02,18,923,2013,6,21,1.7,-2.33,,,,
PAN-02,18,924,2013,6,21,1.2,NA,,,,
PAN-02,18,925,2013,6,21,1.1,NA,,,,
