,Tag.No,Old.No,T1,T2,X,Y,Family,genus,species,Old.Tree.Notes,D..2013.1,POM..2013.1,F1..2013.1,F2..2013.1,Height..2013.1,F5..2013.1,F3..2013.1,F4..2013.1,LI..2013.1,CI..2013.1,Census.Notes..2013.1,D..2014.2,POM..2014.2,F1,F2,Height..2014.2,F5,F3,F4,LI..2014.2,CI..2014.2,Tree.ID,D..2015.1,POM..2015.1,F1.1,F2.1,Height..2015.1,F5.1,F3.1,F4.1,LI..2015.1,CI..2015.1,Census.Notes,Tree.ID.1,New.Tag.No,D..2016.2,POM..2014.2.1,F1.2,F2.2,Height..2016.2,F5.2,F3.2,F4.2,LI..2014.2.1,CI..2014.2.1,D..2017.2,POM..2017.2,F1.3,F2.3,Height..2017.2,F5.3,F3.3,F4.3,LI..2014.2.2,CI..2014.2.2,tag,plot,DBH.1,DBH.2,DBH.3,DBH.4,DBH.5,DBH.1a,DBH.2a,DBH.3a,DBH.4a,DBH.5a,dbh_growth_yr,recruits,srink,missing,overgrown,value_replaced,,,
21,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,1.35,NA,0.639235707,-0.5,NA,NA,NA,NA,NA,NA,29.44933941,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,29.44933941,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,29.70264237,1.35,NA,NA,7.45,NA,NA,NA,NA,NA,30.45748519,NA,NA,NA,7.45,NA,NA,NA,NA,NA,98,ACJ-01,29.5,29.44933941,29.44933941,29.70264237,30.45748519,2.95,2.944933941,2.944933941,2.970264237,3.045748519,0.357815103,ok,ok,ok,ok,NA,-0.000533269,0,0.002945383
22,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4,1.35,NA,0.540014578,-0.3,NA,NA,NA,NA,NA,NA,28.36960364,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,28.36960364,NA,NA,NA,2.41,NA,NA,NA,NA,NA,NA,NA,NA,28.6137877,1.35,NA,NA,4.2,NA,NA,NA,NA,NA,29.03933667,NA,NA,NA,4.2,NA,NA,NA,NA,NA,103,ACJ-01,28.4,28.36960364,28.36960364,28.6137877,29.03933667,2.84,2.836960364,2.836960364,2.86137877,2.903933667,0.201721265,ok,ok,ok,ok,NA,-0.000319962,0,0.00283935
23,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,1.4,NA,0.59980802,0.9,NA,NA,NA,NA,NA,NA,21.39118907,1.4,NA,NA,1.47,NA,NA,NA,NA,NA,NA,21.54013121,NA,NA,NA,4.34,NA,NA,NA,NA,NA,NA,NA,NA,21.97986514,1.4,NA,NA,5.4,NA,NA,NA,NA,NA,22.52699953,NA,NA,NA,5.4,NA,NA,NA,NA,NA,105,ACJ-01,21.3,21.39118907,21.54013121,21.97986514,22.52699953,2.13,2.139118907,2.154013121,2.197986514,2.252699953,0.259355912,ok,ok,ok,ok,NA,0.000959885,0.001934314,0.005113185
24,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,1.4,NA,0.574563977,-1.5,NA,NA,NA,NA,NA,NA,15.04801822,1.4,NA,NA,-0.9,NA,NA,NA,NA,NA,NA,14.95682916,NA,NA,NA,-2.7,NA,NA,NA,NA,NA,NA,NA,NA,14.68326196,1.4,NA,NA,-2,NA,NA,NA,NA,NA,14.4806196,NA,NA,NA,-2,NA,NA,NA,NA,NA,108,ACJ-01,15.2,15.04801822,14.95682916,14.68326196,14.4806196,1.52,1.504801822,1.495682916,1.468326196,1.44806196,-0.096057742,ok,ok,ok,ok,NA,-0.001599808,-0.001184274,-0.003181014
25,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,1.4,NA,0.574563977,1,NA,NA,NA,NA,NA,NA,15.90132118,1.4,NA,NA,1.46,NA,NA,NA,NA,NA,NA,16.04925011,NA,NA,NA,3.22,NA,NA,NA,NA,NA,NA,NA,NA,16.37550432,1.4,NA,NA,NA,NA,NA,NA,NA,NA,16.37550432,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,ACJ-01,15.8,15.90132118,16.04925011,16.37550432,16.37550432,1.58,1.590132118,1.604925011,1.637550432,1.637550432,0,ok,ok,ok,ok,NA,0.001066539,0.001921155,0.003793654
26,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,1.5,NA,0.540014578,-1,NA,NA,NA,NA,NA,NA,40.59867882,1.5,NA,NA,0,NA,NA,NA,NA,NA,NA,40.59867882,NA,NA,NA,2.27,NA,NA,NA,NA,NA,NA,NA,NA,40.8286779,1.5,NA,NA,4.4,NA,NA,NA,NA,NA,41.27449111,NA,NA,NA,4.4,NA,NA,NA,NA,NA,111,ACJ-01,40.7,40.59867882,40.59867882,40.8286779,41.27449111,4.07,4.059867882,4.059867882,4.08286779,4.127449111,0.211327041,ok,ok,ok,ok,NA,-0.001066539,0,0.002674408
27,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,1.4,NA,0.59980802,-1.4,NA,NA,NA,NA,NA,NA,18.15815034,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,18.15815034,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,18.15815034,1.4,NA,NA,2.05,NA,NA,NA,NA,NA,18.36585877,NA,NA,NA,2.05,NA,NA,NA,NA,NA,119,ACJ-01,18.3,18.15815034,18.15815034,18.15815034,18.36585877,1.83,1.815815034,1.815815034,1.815815034,1.836585877,0.098459191,ok,ok,ok,ok,NA,-0.001493154,0,0
28,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,1.4,NA,0.574563977,-1.4,NA,NA,NA,NA,NA,NA,15.45815034,1.4,NA,NA,-1.82,NA,NA,NA,NA,NA,NA,15.27374579,NA,NA,NA,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,15.05083918,1.4,NA,NA,-1.85,NA,NA,NA,NA,NA,14.86339499,NA,NA,NA,-1.85,NA,NA,NA,NA,NA,120,ACJ-01,15.6,15.45815034,15.27374579,15.05083918,14.86339499,1.56,1.545815034,1.527374579,1.505083918,1.486339499,-0.088853415,ok,ok,ok,ok,NA,-0.001493154,-0.002394864,-0.002591937
29,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,1.4,NA,0.639235707,-1.1,NA,NA,NA,NA,NA,NA,12.3885467,1.4,NA,NA,-1.12,NA,NA,NA,NA,NA,NA,12.27506697,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,12.27506697,1.4,NA,NA,0.65,NA,NA,NA,NA,NA,12.34092574,NA,NA,NA,0.65,NA,NA,NA,NA,NA,123,ACJ-01,12.5,12.3885467,12.27506697,12.27506697,12.34092574,1.25,1.23885467,1.227506697,1.227506697,1.234092574,0.031218768,ok,ok,ok,ok,NA,-0.001173193,-0.001473763,0
30,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,1.4,NA,0.59980802,0,NA,NA,NA,NA,NA,NA,16.8,1.4,NA,NA,0.96,NA,NA,NA,NA,NA,NA,16.89726834,NA,NA,NA,2.77,NA,NA,NA,NA,NA,NA,NA,NA,17.17792801,1.4,NA,NA,3.8,NA,NA,NA,NA,NA,17.56294851,NA,NA,NA,3.8,NA,NA,NA,NA,NA,133,ACJ-01,16.8,16.8,16.89726834,17.17792801,17.56294851,1.68,1.68,1.689726834,1.717792801,1.756294851,0.182509718,ok,ok,ok,ok,NA,0,0.001263225,0.003263485
