Plot,TypeMeas,Subplot,Meas,DD,MM,YY,Id,Subplot,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,21,30,10,14,28,505,0,0,0,0,0,48,96,0.4,0,0,854,8,
SPI,TOT,2,1,30,10,11,SPI_TOT_2_1_301011,2,1,3,22,30,10,14,28,507,0,0,0,0,0,51,100,0.41,0,0,854,8,a
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,17,30,10,14,31,466,0,0,0,0,0,0,0,0,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,18,30,10,14,31,468,0,0,0,0,0,0,4,0,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,19,30,10,14,31,469,0,0,0,0,0,0,9,0,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,20,30,10,14,31,471,0,0,0,0,0,4,14,0.25,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,21,30,10,14,31,473,0,0,0,0,0,6,19,0.27,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,22,30,10,14,31,475,0,0,0,0,0,8,24,0.28,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,23,30,10,14,31,477,0,0,0,0,0,10,28,0.3,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,24,30,10,14,32,480,0,0,0,0,0,13,33,0.32,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,25,30,10,14,32,482,0,0,0,0,0,15,38,0.33,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,26,30,10,14,32,485,0,0,0,0,0,18,43,0.34,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,27,30,10,14,32,487,0,0,0,0,0,20,48,0.35,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,28,30,10,14,32,490,0,0,0,0,0,23,52,0.36,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,29,30,10,14,32,492,0,0,0,0,0,26,57,0.37,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,30,30,10,14,32,495,0,0,0,0,0,29,62,0.38,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,31,30,10,14,32,498,0,0,0,0,0,31,67,0.38,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,32,30,10,14,32,500,0,0,0,0,0,34,72,0.39,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,33,30,10,14,32,503,0,0,0,0,0,37,76,0.39,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,34,30,10,14,32,506,0,0,0,0,0,40,81,0.4,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,35,30,10,14,32,509,0,0,0,0,0,43,86,0.4,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,36,30,10,14,32,512,0,0,0,0,0,46,91,0.41,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,37,30,10,14,33,515,0,0,0,0,0,49,96,0.41,0,0,854,8,
SPI,TOT,2,2,30,10,11,SPI_TOT_2_2_301011,2,2,4,38,30,10,14,33,518,0,0,0,0,0,52,100,0.42,0,0,854,8,a
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,1,30,10,14,35,457,0,0,0,0,0,0,0,0,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,2,30,10,14,35,457,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,3,30,10,14,35,461,0,0,0,0,0,0,9,0,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,4,30,10,14,36,463,0,0,0,0,0,6,14,0.36,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,5,30,10,14,36,465,0,0,0,0,0,8,19,0.37,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,6,30,10,14,36,468,0,0,0,0,0,11,24,0.38,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,7,30,10,14,36,468,0,0,0,0,0,12,28,0.34,0,0,856,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,8,30,10,14,36,470,0,0,0,0,0,13,33,0.33,0,0,856,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,9,30,10,14,36,473,0,0,0,0,0,15,38,0.33,0,0,856,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,10,30,10,14,36,477,0,0,0,0,0,19,43,0.36,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,11,30,10,14,36,479,0,0,0,0,0,22,48,0.37,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,12,30,10,14,36,480,0,0,0,0,0,24,52,0.37,0,0,856,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,13,30,10,14,36,484,0,0,0,0,0,27,57,0.38,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,14,30,10,14,36,487,0,0,0,0,0,30,62,0.39,0,0,854,8,
