"","plot_code","sub_plot","tree_tag","year","month","day","pom_height","dbh_first_year","dbh_first_year_cm","dendrometer_reading_mm","comments","forma_tronco","igual_DAP","apertura","X","X_1","X_2","X_3","X_4","density","height_m","dbh","cenyear","cenmonth","cenday"
"58","ESP-01",1,20,2011,7,11,NA,NA,30.5,"44.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"59","ESP-01",1,20,2011,10,25,NA,NA,30.5,"50.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"60","ESP-01",1,20,2012,5,2,NA,NA,30.5,"55.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,13,28.5,2006,7,4
"61","ESP-01",1,21,2009,8,19,NA,NA,10.3,"0",NA,"e","igual",NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"62","ESP-01",1,21,2009,11,25,NA,NA,10.3,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"63","ESP-01",1,21,2010,1,26,NA,NA,10.3,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"64","ESP-01",1,21,2010,5,1,NA,NA,10.3,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"65","ESP-01",1,21,2010,7,21,NA,NA,10.3,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"66","ESP-01",1,21,2010,7,21,NA,NA,10.3,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"67","ESP-01",1,21,2010,10,13,NA,NA,10.3,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"68","ESP-01",1,21,2011,1,31,NA,NA,10.3,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"69","ESP-01",1,21,2011,4,29,NA,NA,10.3,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"70","ESP-01",1,21,2011,7,11,NA,NA,10.3,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"71","ESP-01",1,21,2011,10,25,NA,NA,10.3,"0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
