plot_code,sub_plot,tree_tag,family,genus,specie,year,month,day,wood_density_g_cm3,tree_height_m,pom_height_m,dbh_northsouth_cm,dbh_westeast_cm,rainfor_flag1,rainfor_flag2,rainfor_flag3,quality_code,comments
ACJ,3,45,Symplocaceae,Symplocos,sp,2013,2,14,NaN,3,1.3,2.08,2.1,ch,,,,
ACJ,3,46,Solanaceae,Sessea,,2013,2,14,NaN,4.5,1.3,6.53,8.6,ch,,,,
ACJ,3,47,Solanaceae,Sessea,,2013,2,14,NaN,3,1.3,2.22,2.3,ch,,,,
ACJ,3,48,Solanaceae,Sessea,,2013,2,14,NaN,3,1.3,2.7,2.89,ch,,,,
ACJ,3,49,Melastomataceae ,,,2013,2,14,NaN,3.5,1.3,3.53,3.51,ai,,,,
ACJ,3,50,Melastomataceae ,,,2013,2,14,NaN,4,1.3,5.67,4.6,a,,,,
ACJ,3,51,Araliaceae,,,2013,2,14,NaN,4,1.3,3.8,3.76,a,,,,
ACJ,3,52,Melastomataceae ,,,2013,2,14,NaN,5,1.3,5.55,5.91,c,,,,
ACJ,3,53,Melastomataceae ,,,2013,2,14,NaN,4.5,1.3,6.89,6.65,a,,,,
ACJ,3,54,Asteraceae,,,2013,2,14,NaN,4,1.3,4.11,4.29,ch,,,,
ACJ,3,55,Asteraceae,,,2013,2,14,NaN,4,1.3,3.57,3.62,ch,,,,
ACJ,3,56,Asteraceae,,,2013,2,14,NaN,4.5,1.3,2.91,2.9,ch,,,,
ACJ,3,57,Symplocaceae,Symplocos,sp,2013,2,14,NaN,6,1.3,6.39,7.94,a,,,,
ACJ,3,58,Indeterminado,,,2013,2,14,NaN,10,1.3,9.05,9.99,a,,,,
ACJ,3,61,Indeterminado,,,2013,2,14,NaN,4.5,1.3,4.3,2.09,c,,,,
ACJ,3,62,Chlorantaceae,Hedyosmum,sp,2013,2,14,NaN,5,1.3,8.83,10.96,ch,,,,
ACJ,3,63,Chlorantaceae,Hedyosmum,sp,2013,2,14,NaN,5.5,1.3,9.5,6.53,ch,,,,
ACJ,3,64,Melastomataceae ,,,2013,2,14,NaN,6,1.4,10.5,9.75,ch,,,,
ACJ,3,65,Symplocaceae,Symplocos,sp,2013,2,14,NaN,3.5,1.3,4.7,4.78,d,,,,
ACJ,3,66,Indeterminado,,,2013,2,14,NaN,6,1.3,6.95,6.71,ch,,,,
ACJ,3,67,Melastomataceae ,,,2013,2,14,NaN,5,1.3,5.22,4.62,ch,,,,
ACJ,3,68,Melastomataceae ,,,2013,2,14,NaN,3.5,1.3,2.4,2.6,ch,,,,
ACJ,3,70,Melastomataceae ,,,2013,2,14,NaN,3,1.3,3.29,3.27,a,,,,
ACJ,3,71,Solanaceae,Sessea,,2013,2,14,NaN,3,1.3,2.82,3.44,a,,,,
ACJ,3,72,Lauraceae,,,2013,2,14,NaN,4,1.3,6.41,5.05,c,,,,
ACJ,3,73,Lauraceae,,,2013,2,14,NaN,4,1.3,3.41,5.05,c,,,,
ACJ,3,74,Melastomataceae ,,,2013,2,14,NaN,4,1.3,2.18,2.7,c,,,,
ACJ,3,75,Melastomataceae ,,,2013,2,14,NaN,4,1.3,2.64,2.5,ah,,,,
ACJ,3,76,Solanaceae,Sessea,,2013,2,14,NaN,5,1.3,4.8,5.25,ch,,,,
ACJ,3,79,Indeterminado,,,2013,2,14,NaN,6,1.3,2.6,2.77,a,,,,
ACJ,3,80,Indeterminado,,,2013,2,14,NaN,4,1.3,2.06,2.18,a,,,,
ACJ,3,81,Cunoniaceae,,,2013,2,14,NaN,6,1.3,9.04,7.83,c,,,,
ACJ,3,83,Indeterminado,,,2013,2,14,NaN,4,1.3,3.03,2.85,c,,,,
ACJ,3,85,Indeterminado,,,2013,2,14,NaN,4,1.3,3.52,3.27,c,,,,
ACJ,11,88,Solanaceae,Sessea,,2013,2,14,NaN,4.5,1.3,4.44,4.77,ch,,,,
ACJ,11,89,Solanaceae,Sessea,,2013,2,14,NaN,4.5,1.3,2.08,2.05,ch,,,,
ACJ,11,90,Melastomataceae ,,,2013,2,14,NaN,3.5,1.3,3.05,2.98,ch,,,,
ACJ,11,91,Melastomataceae ,,,2013,2,14,NaN,3,1.3,2.57,2.45,ch,,,,
ACJ,11,92,Melastomataceae ,,,2013,2,14,NaN,2,1.3,2,2.03,ch,,,,
ACJ,11,93,Melastomataceae ,,,2013,2,14,NaN,2.5,1.3,2.71,2.44,ch,,,,
ACJ,11,94,Melastomataceae ,,,2013,2,14,NaN,3,1.3,4.68,5.1,ch,,,,
ACJ,11,95,Chlorantaceae,Hedyosmum,sp,2013,2,14,NaN,3,1.3,3.33,3.54,ch,,,,
ACJ,11,96,Chlorantaceae,Hedyosmum,sp,2013,2,14,NaN,3,1.3,2.58,3.09,ch,,,,
ACJ,11,97,Chlorantaceae,Hedyosmum,sp,2013,2,14,NaN,3.5,1.3,3.1,2.8,ch,,,,
ACJ,11,98,Melastomataceae ,,,2013,2,14,NaN,4,1.3,3.94,3.65,c,,,,
ACJ,11,99,Cunoniaceae,,,2013,2,14,NaN,4,1.3,3.4,3.27,a,,,,
ACJ,11,100,Melastomataceae ,,,2013,2,14,NaN,2.5,1.3,2.7,2.59,a,,,,
ACJ,11,101,Melastomataceae ,,,2013,2,14,NaN,2,1.3,4.66,4.74,c,,,,
ACJ,11,104,Lauraceae,,,2013,2,14,NaN,2.5,1.3,2.55,3.06,c,,,,
ACJ,11,105,Symplocaceae,Symplocos,sp,2013,2,14,NaN,3,1.3,4.2,4.75,c,,,,
ACJ,11,106,Symplocaceae,Symplocos,sp,2013,2,14,NaN,3,1.3,2.44,2.63,a,,,,
ACJ,11,107,Chlorantaceae,Hedyosmum,sp,2013,2,14,NaN,2.5,1.3,2.66,2.68,a,,,,
ACJ,11,108,Symplocaceae,Symplocos,sp,2013,2,14,NaN,2,1.3,3.5,3.34,c,,,,
ACJ,11,109,Indeterminado,,,2013,2,14,NaN,3,1.3,3.17,2.93,ci,,,,
ACJ,11,110,Solanaceae,Sessea,,2013,2,14,NaN,4,1.3,2.04,2,ch,,,,
ACJ,11,111,Solanaceae,Sessea,,2013,2,14,NaN,4,1.3,2.81,2.81,ch,,,,
ACJ,11,112,Solanaceae,Sessea,,2013,2,14,NaN,3,1.3,2.24,2,c,,,,
ACJ,11,115,Symplocaceae,Symplocos,sp,2013,2,14,NaN,2.5,1.3,2.04,1.96,a,,,,
ACJ,11,116,Symplocaceae,Symplocos,sp,2013,2,14,NaN,5,1.3,2.06,2,a,,,,
ACJ,11,117,Symplocaceae,Symplocos,sp,2013,2,14,NaN,2.5,1.3,3.72,3.57,a,,,,
ACJ,11,118,Symplocaceae,Symplocos,sp,2013,2,14,NaN,4.5,1.3,5,4.53,a,,,,
