"","X","code","flux_umolco2_m2_s","co2slope","plot_code","sub_plot","measurement_code","egm_measurement","day","month","year","hour","soil_temp_degC","vwc_percent","collar_depth_cm","TRU04","tree_num"
"77",77,"4.22.7.13",0.0450165649066029,0.0681531342027755,"TU4",4,"STEM",4,22,7,13,21,11.8,NA,7,136,136
"78",78,"4.23.9.13",0.0593611979336715,0.103807320151452,"TU4",4,"STEM",4,23,9,13,1,14.2,NA,7,136,136
"79",79,"4.27.5.13",0.0451115532623053,0.0744636095919213,"TU4",4,"STEM",4,27,5,13,8,11.2,NA,7,136,136
"80",80,"5.14.3.14",0.0592841501735459,0.0816154816996208,"TU4",5,"STEM",5,14,3,14,10,13.8,NA,7,167,167
"81",81,"5.22.7.13",0.0300955367942671,0.0469078670593196,"TU4",5,"STEM",5,22,7,13,21,11,NA,7,167,167
"82",82,"5.23.9.13",0.0597947379422764,0.0760412284392142,"TU4",5,"STEM",5,23,9,13,1,12.5,NA,7,167,167
"83",83,"5.27.5.13",-0.060212263897842,-0.0667858645351208,"TU4",5,"STEM",5,27,5,13,8,10.9,NA,7,167,167
"84",84,"51.10.1.14",0.074434631812884,0.128628523348758,"TU4",1,"STEM",51,10,1,14,21,13.3,NA,7,9,9
"85",85,"51.18.11.13",0.0889966789212668,0.128944047118214,"TU4",1,"STEM",51,18,11,13,21,12.8,NA,7,9,9
"86",86,"52.10.1.14",0.0892015023176981,0.142616743794699,"TU4",2,"STEM",52,10,1,14,21,13.3,NA,7,44,44
"87",87,"52.18.11.13",0.118739543773044,0.177850231384096,"TU4",2,"STEM",52,18,11,13,21,13,NA,7,44,44
"88",88,"53.10.1.14",0.074460626096737,0.138935633151026,"TU4",3,"STEM",53,10,1,14,22,13.2,NA,7,90,90
"89",89,"53.18.11.13",0.0894248478655984,0.129995793016407,"TU4",3,"STEM",53,18,11,13,21,12.2,NA,7,90,90
"90",90,"54.10.1.14",0.0149173509984378,0.0395456457719785,"TU4",4,"STEM",54,10,1,14,22,13.1,NA,7,136,136
"91",91,"54.18.11.13",0.0446811072289415,0.0770929743373968,"TU4",4,"STEM",54,18,11,13,22,12.4,NA,7,136,136
"92",92,"55.10.1.14",0.0447208070166118,0.0716238956668081,"TU4",5,"STEM",55,10,1,14,22,13.3,NA,7,167,167
"93",93,"55.18.11.13",0.10440216398921,0.17522086663862,"TU4",5,"STEM",55,18,11,13,22,12,NA,7,167,167
"94",94,"56.10.1.14",0.14897327708507,0.223180479596131,"TU4",6,"STEM",56,10,1,14,23,13.1,NA,7,211,211
"95",95,"56.18.11.13",0.059533112483986,0.0881363062684045,"TU4",6,"STEM",56,18,11,13,22,12.6,NA,7,211,211
"96",96,"57.10.1.14",0.0446896046394853,0.0681531342027796,"TU4",7,"STEM",57,10,1,14,23,13.5,NA,7,253,253
"97",97,"58.10.1.14",0.0448774747588315,0.0681531342027735,"TU4",8,"STEM",58,10,1,14,23,12.3,NA,7,305,305
"98",98,"58.18.11.13",0.133768978152191,0.196992006731176,"TU4",8,"STEM",58,18,11,13,22,12.6,NA,7,305,305
