FAMILY	GENUS	SPECIES	WSG
Fabaceae	Abarema	jupunba	0.61
Fabaceae	Abarema	macradenia	0.44
Pinaceae	Abies	guatemalensis	0.43
Menispermaceae	Abuta	rufescens	0.45
Fabaceae	Acacia	albicorticata	0.49
Fabaceae	Acacia	angustissima	0.85
Fabaceae	Acacia	aroma	0.81
Fabaceae	Acacia	caven	0.77
Fabaceae	Acacia	cochliacantha	0.94
Fabaceae	Acacia	collinsii	0.8
Fabaceae	Acacia	furcatispina	0.87
Fabaceae	Acacia	hindsii	0.78
Fabaceae	Acacia	macracantha	0.73
Fabaceae	Acacia	mayana	0.73
Fabaceae	Acacia	polyphylla	0.64
Fabaceae	Acacia	praecox	0.77
Fabaceae	Acacia	tenuifolia	0.49
Fabaceae	Acacia	tucumanensis	0.63
Fabaceae	Acacia	visco	0.69
Santalaceae	Acanthosyris	falcata	0.65
Santalaceae	Acanthosyris	glabrata	0.6
Myrtaceae	Acca	sellowiana	0.75
Chrysobalanaceae	Acioa	guianensis	0.86
Malpighiaceae	Acmanthera	latifolia	0.69
Fabaceae	Acosmium	dasycarpum	0.7
Fabaceae	Acosmium	nitens	0.8
Fabaceae	Acosmium	panamense	0.81
Fabaceae	Acosmium	praeclarum	0.68
Euphorbiaceae	Adelia	oaxacana	0.87
Euphorbiaceae	Adelia	triloba	0.54
Fabaceae	Adenanthera	pavonina	0.7
Rutaceae	Adiscanthus	fusciflorus	0.82
Verbenaceae	Aegiphila	integrifolia	0.86
Verbenaceae	Aegiphila	intermedia	0.43
Verbenaceae	Aegiphila	klotzkiana	0.68
Aextoxicaceae	Aextoxicon	punctatum	0.55
Opiliaceae	Agonandra	brasiliensis	0.82
Opiliaceae	Agonandra	silvatica	0.83
Lauraceae	Aiouea	impressa	0.37
Fabaceae	Albizia	guachapele	0.52
Fabaceae	Albizia	inundata	0.56
Fabaceae	Albizia	niopoides	0.56
Fabaceae	Albizia	pistaciifolia	0.45
Fabaceae	Albizia	procera	0.47
Fabaceae	Albizia	purpusii	0.64
Euphorbiaceae	Alchornea	brachygyne	0.34
Euphorbiaceae	Alchornea	castaneifolia	0.34
Euphorbiaceae	Alchornea	costaricensis	0.3
Euphorbiaceae	Alchornea	glandulosa	0.38
Euphorbiaceae	Alchornea	grandis	0.34
Euphorbiaceae	Alchornea	iricurana	0.51
Euphorbiaceae	Alchornea	latifolia	0.42
Euphorbiaceae	Alchornea	triplinervia	0.47
Euphorbiaceae	Alchorneopsis	portoricensis	0.45
Euphorbiaceae	Alchorneopsis	trimera	0.36
Fabaceae	Aldina	heterophylla	0.74
Fabaceae	Aldina	insignis	0.71
Fabaceae	Aldina	latifolia	0.74
Fabaceae	Alexa	grandiflora	0.64
Fabaceae	Alexa	imperatricis	0.49
Fabaceae	Alexa	wachenheimii	0.49
Rubiaceae	Alibertia	curviflora	0.73
Rubiaceae	Alibertia	edulis	0.76
Rubiaceae	Alibertia	sessilis	0.88
Lecythidaceae	Allantoma	lineata	0.49
Sapindaceae	Allophylus	amazonicus	0.55
Sapindaceae	Allophylus	camptostachys	0.77
Sapindaceae	Allophylus	edulis	0.65
Sapindaceae	Allophylus	floribundus	0.39
Sapindaceae	Allophylus	peruvianus	0.39
Sapindaceae	Allophylus	scrobiculatus	0.46
Betulaceae	Alnus	acuminata	0.4
Betulaceae	Alnus	jorullensis	0.38
Rubiaceae	Alseis	blackiana	0.54
Rubiaceae	Alseis	floribunda	0.85
Rubiaceae	Alseis	peruviana	0.65
Rubiaceae	Alseis	yucatanensis	0.6
Simaroubaceae	Alvaradoa	amorphoides	0.56
Rubiaceae	Amaioua	guianensis	0.63
Euphorbiaceae	Amanoa	glaucophylla	0.8
Euphorbiaceae	Amanoa	guianensis	0.84
Euphorbiaceae	Amanoa	oblongifolia	0.83
Apocynaceae	Ambelania	acida	0.55
Apocynaceae	Ambelania	quadrangularis	0.51
Fabaceae	Amburana	cearensis	0.53
Myrtaceae	Amomyrtella	guili	0.61
Ulmaceae	Ampelocera	edentula	0.7
Ulmaceae	Ampelocera	hottlei	0.66
Ulmaceae	Ampelocera	ruizii	0.77
Anacardiaceae	Amphipterygium	adstringens	0.41
Violaceae	Amphirrhox	longifolia	0.71
Bignoniaceae	Amphitecna	tuxtlensis	0.46
Rutaceae	Amyris	balsamifera	0.9
Rutaceae	Amyris	elemifera	0.97
Anacardiaceae	Anacardium	excelsum	0.39
Anacardiaceae	Anacardium	giganteum	0.46
Anacardiaceae	Anacardium	occidentale	0.44
Anacardiaceae	Anacardium	parvifolium	0.57
Anacardiaceae	Anacardium	spruceanum	0.46
Fabaceae	Anadenanthera	colubrina	0.88
Fabaceae	Anadenanthera	peregrina	0.93
Annonaceae	Anaxagorea	crassipetala	0.48
Annonaceae	Anaxagorea	dolichocarpa	0.58
Fabaceae	Andira	coriacea	0.73
Fabaceae	Andira	fraxinifolia	0.92
Fabaceae	Andira	inermis	0.64
Fabaceae	Andira	parviflora	0.71
Fabaceae	Andira	surinamensis	0.71
Fabaceae	Andira	unifoliolata	0.76
Lauraceae	Aniba	affinis	0.52
Lauraceae	Aniba	burchellii	0.52
Lauraceae	Aniba	canelilla	0.94
Lauraceae	Aniba	cylindriflora	0.67
Lauraceae	Aniba	excelsa	0.55
Lauraceae	Aniba	firmula	0.56
Lauraceae	Aniba	guianensis	0.52
Lauraceae	Aniba	hostmanniana	0.62
Lauraceae	Aniba	hypoglauca	0.53
Lauraceae	Aniba	ovalifolia	0.55
Lauraceae	Aniba	panurensis	0.61
Lauraceae	Aniba	parviflora	0.54
Lauraceae	Aniba	perutilis	0.5
Lauraceae	Aniba	puchury-minor	0.53
Lauraceae	Aniba	riparia	0.57
Lauraceae	Aniba	rosaeodora	0.68
Lauraceae	Aniba	terminalis	0.54
Lauraceae	Aniba	williamsii	0.64
Anisophylleaceae	Anisophyllea	manausensis	0.86
Annonaceae	Annona	crassiflora	0.56
Annonaceae	Annona	foetida	0.57
Annonaceae	Annona	glabra	0.5
Annonaceae	Annona	hypoglauca	0.38
Annonaceae	Annona	muricata	0.36
Annonaceae	Annona	reticulata	0.55
Annonaceae	Annona	spraguei	0.56
Annonaceae	Annona	squamosa	0.49
Menispermaceae	Anomospermum	grandifolium	0.64
Caryocaraceae	Anthodiscus	amazonicus	0.72
Caryocaraceae	Anthodiscus	peruanus	0.69
Caryocaraceae	Anthodiscus	pilosus	0.69
Loganiaceae	Antonia	ovata	0.47
Euphorbiaceae	Aparisthmium	cordatum	0.39
Malvaceae	Apeiba	albiflora	0.24
Malvaceae	Apeiba	aspera	0.31
Malvaceae	Apeiba	glabra	0.32
Malvaceae	Apeiba	intermedia	0.26
Fabaceae	Apoplanesia	cryptopetala	0.86
Fabaceae	Apoplanesia	paniculata	0.94
Olacaceae	Aptandra	tubicina	0.77
Fabaceae	Apuleia	leiocarpa	0.77
Rubiaceae	Arachnothryx	buddleioides	0.56
Fabaceae	Arapatiella	psilophylla	0.87
Araucariaceae	Araucaria	angustifolia	0.47
Araucariaceae	Araucaria	araucana	0.52
Myrsinaceae	Ardisia	guianensis	0.62
Fabaceae	Arthrosamanea	marginata	0.65
Moraceae	Artocarpus	altilis	0.44
Moraceae	Artocarpus	heterophyllus	0.53
Apocynaceae	Aspidosperma	album	0.77
Apocynaceae	Aspidosperma	araracanga	0.75
Apocynaceae	Aspidosperma	australe	0.72
Apocynaceae	Aspidosperma	capitatum	0.73
Apocynaceae	Aspidosperma	curranii	0.73
Apocynaceae	Aspidosperma	cuspa	0.83
Apocynaceae	Aspidosperma	cylindrocarpon	0.73
Apocynaceae	Aspidosperma	decussatum	0.79
Apocynaceae	Aspidosperma	desmanthum	0.53
Apocynaceae	Aspidosperma	discolor	0.76
Apocynaceae	Aspidosperma	excelsum	0.79
Apocynaceae	Aspidosperma	macrocarpon	0.72
Apocynaceae	Aspidosperma	marcgravianum	0.72
Apocynaceae	Aspidosperma	megalocarpon	0.77
Apocynaceae	Aspidosperma	megaphyllum	0.67
Apocynaceae	Aspidosperma	nitidum	0.77
Apocynaceae	Aspidosperma	oblongum	0.87
Apocynaceae	Aspidosperma	obscurinervium	0.86
Apocynaceae	Aspidosperma	parvifolium	0.78
Apocynaceae	Aspidosperma	polyneuron	0.71
Apocynaceae	Aspidosperma	pyrifolium	0.79
Apocynaceae	Aspidosperma	quebracho-blanco	0.74
Apocynaceae	Aspidosperma	ramiflorum	0.71
Apocynaceae	Aspidosperma	sandwithianum	0.79
Apocynaceae	Aspidosperma	spruceanum	0.74
Apocynaceae	Aspidosperma	subincanum	0.82
Apocynaceae	Aspidosperma	tomentosum	0.82
Apocynaceae	Aspidosperma	verruculosum	0.94
Lecythidaceae	Asteranthos	brasiliensis	0.67
Arecaceae	Astrocaryum	murumuru	0.51
Anacardiaceae	Astronium	balansae	0.97
Anacardiaceae	Astronium	concinnum	1.07
Anacardiaceae	Astronium	fraxinifolium	0.95
Anacardiaceae	Astronium	gracile	0.73
Anacardiaceae	Astronium	graveolens	0.85
Anacardiaceae	Astronium	lecointei	0.77
Anacardiaceae	Astronium	ulei	0.7
Anacardiaceae	Astronium	urundeuva	1
Arecaceae	Attalea	butyracea	0.33
Boraginaceae	Auxemma	glazioviana	0.84
Acanthaceae	Avicennia	germinans	0.78
Acanthaceae	Avicennia	marina	0.52
Acanthaceae	Avicennia	tonduzii	0.64
Asteraceae	Baccharis	latifolia	0.56
Moraceae	Bagassa	guianensis	0.71
Rutaceae	Balfourodendron	riedelianum	0.69
Fabaceae	Balizia	elegans	0.5
Fabaceae	Balizia	pedicellaris	0.52
Salicaceae	Banara	arguta	0.75
Salicaceae	Banara	guianensis	0.61
Salicaceae	Banara	nitida	0.6
Malvaceae	Bastardiopsis	densiflora	0.65
Fabaceae	Batesia	floribunda	0.54
Rubiaceae	Bathysa	meridionalis	0.64
Moraceae	Batocarpus	amazonicus	0.53
Fabaceae	Bauhinia	forficata	0.57
Fabaceae	Bauhinia	longifolia	0.67
Fabaceae	Bauhinia	tarapotensis	0.6
Lauraceae	Beilschmiedia	brasiliensis	0.58
Lauraceae	Beilschmiedia	curviramea	0.54
Lauraceae	Beilschmiedia	pendula	0.52
Melastomataceae	Bellucia	grossularioides	0.61
Melastomataceae	Bellucia	imperialis	0.54
Melastomataceae	Bellucia	pentamera	0.54
Berberidaceae	Berberis	jobii	0.59
Malvaceae	Bernoullia	flammea	0.25
Lecythidaceae	Bertholletia	excelsa	0.64
Sapindaceae	Billia	columbiana	0.52
Bixaceae	Bixa	arborea	0.35
Bixaceae	Bixa	excelsa	0.32
Bixaceae	Bixa	orellana	0.36
Melastomataceae	Blakea	subconnata	0.71
Myrtaceae	Blepharocalyx	eggersii	0.73
Myrtaceae	Blepharocalyx	salicifolius	0.74
Sapindaceae	Blighia	sapida	0.75
Annonaceae	Bocageopsis	multiflora	0.65
Fabaceae	Bocoa	prouacensis	1.05
Fabaceae	Bocoa	viridiflora	0.84
Urticaceae	Boehmeria	caudata	0.36
Malvaceae	Bombacopsis	macrocalyx	0.56
Malvaceae	Bombacopsis	nervosa	0.47
Malvaceae	Bombax	paraense	0.39
Rubiaceae	Borojoa	patinoi	0.52
Rubiaceae	Bothriospora	corymbosa	0.68
Rubiaceae	Botryarrhena	pendula	0.73
Nyctaginaceae	Bougainvillea	praecox	0.56
Boraginaceae	Bourreria	purpusii	0.73
Fabaceae	Bowdichia	nitida	0.81
Fabaceae	Bowdichia	virgilioides	0.91
Monimiaceae	Bracteanthus	glycycarpus	0.71
Acanthaceae	Bravaisia	integerrima	0.45
Moraceae	Brosimum	acutifolium	0.62
Moraceae	Brosimum	alicastrum	0.57
Moraceae	Brosimum	costaricanum	0.66
Moraceae	Brosimum	gaudichaudii	0.64
Moraceae	Brosimum	guianense	0.89
Moraceae	Brosimum	lactescens	0.66
Moraceae	Brosimum	parinarioides	0.62
Moraceae	Brosimum	potabile	0.54
Moraceae	Brosimum	rubescens	0.84
Moraceae	Brosimum	utile	0.49
Brunelliaceae	Brunellia	comocladifolia	0.3
Brunelliaceae	Brunellia	costaricensis	0.32
Combretaceae	Buchenavia	grandis	0.77
Combretaceae	Buchenavia	ochroprumna	0.69
Combretaceae	Buchenavia	oxycarpa	0.7
Combretaceae	Buchenavia	pallidovirens	0.82
Combretaceae	Buchenavia	parvifolia	0.82
Combretaceae	Buchenavia	tetraphylla	0.6
Combretaceae	Buchenavia	viridiflora	0.88
Combretaceae	Bucida	buceras	0.87
Scrophulariaceae	Buddleja	americana	0.52
Scrophulariaceae	Buddleja	nitida	0.52
Zygophyllaceae	Bulnesia	arborea	0.96
Zygophyllaceae	Bulnesia	sarmientoi	1.01
Malpighiaceae	Bunchosia	argentea	0.65
Malpighiaceae	Bunchosia	palmeri	0.74
Malpighiaceae	Burdachia	duckei	0.84
Malpighiaceae	Burdachia	prismatocarpa	0.73
Burseraceae	Bursera	excelsa	0.35
Burseraceae	Bursera	graveolens	0.32
Burseraceae	Bursera	heteresthes	0.4
Burseraceae	Bursera	instabilis	0.24
Burseraceae	Bursera	simaruba	0.35
Malpighiaceae	Byrsonima	aerugo	0.63
Malpighiaceae	Byrsonima	arthropoda	0.62
Malpighiaceae	Byrsonima	coccolobaefolia	0.62
Malpighiaceae	Byrsonima	coriacea	0.61
Malpighiaceae	Byrsonima	crassifolia	0.64
Malpighiaceae	Byrsonima	densa	0.62
Malpighiaceae	Byrsonima	japurensis	0.62
Malpighiaceae	Byrsonima	laevigata	0.62
Malpighiaceae	Byrsonima	lancifolia	0.66
Malpighiaceae	Byrsonima	obversa	0.62
Malpighiaceae	Byrsonima	sericea	0.78
Malpighiaceae	Byrsonima	spicata	0.62
Malpighiaceae	Byrsonima	stipulacea	0.72
Malpighiaceae	Byrsonima	verbascifolia	0.75
Meliaceae	Cabralea	canjerana	0.54
Fabaceae	Caesalpinia	caladenia	0.91
Fabaceae	Caesalpinia	coriaria	1.12
Fabaceae	Caesalpinia	echinata	0.89
Fabaceae	Caesalpinia	eriostachys	0.73
Fabaceae	Caesalpinia	ferrea	1.17
Fabaceae	Caesalpinia	glabrata	0.95
Fabaceae	Caesalpinia	granadillo	0.97
Fabaceae	Caesalpinia	paraguariensis	1.05
Fabaceae	Caesalpinia	platyloba	1.03
Fabaceae	Caesalpinia	pulcherrima	0.84
Fabaceae	Caesalpinia	sclerocarpa	1.39
Icacinaceae	Calatola	costaricensis	0.56
Icacinaceae	Calatola	laevigata	0.76
Fabaceae	Calliandra	calothyrsus	0.58
Fabaceae	Calliandra	seleri	0.98
Fabaceae	Calliandra	trinervia	0.82
Fabaceae	Calliandra	tweediei	0.85
Vochysiaceae	Callisthene	fasciculata	0.71
Vochysiaceae	Callisthene	major	0.75
Clusiaceae	Calophyllum	angulare	0.64
Clusiaceae	Calophyllum	brasiliense	0.57
Clusiaceae	Calophyllum	longifolium	0.54
Melastomataceae	Calycogonium	squamulosum	0.74
Myrtaceae	Calycolpus	goetheanus	0.8
Rubiaceae	Calycophyllum	acreanum	0.8
Rubiaceae	Calycophyllum	candidissimum	0.68
Rubiaceae	Calycophyllum	multiflorum	0.76
Rubiaceae	Calycophyllum	spruceanum	0.71
Myrtaceae	Calycorectes	acutatus	0.76
Myrtaceae	Calyptranthes	clusiaefolia	0.72
Myrtaceae	Calyptranthes	concinna	0.77
Myrtaceae	Calyptranthes	speciosa	0.86
Anacardiaceae	Campnosperma	gummifera	0.44
Anacardiaceae	Campnosperma	panamense	0.33
Myrtaceae	Campomanesia	eugenioides	0.84
Myrtaceae	Campomanesia	grandiflora	0.73
Myrtaceae	Campomanesia	neriiflora	0.84
Myrtaceae	Campomanesia	rufa	0.93
Fabaceae	Campsiandra	angustifolia	0.9
Fabaceae	Campsiandra	comosa	0.81
Canellaceae	Canella	winterana	0.9
Rubiaceae	Capirona	decorticans	0.59
Brassicaceae	Capparis	amplissima	0.66
Brassicaceae	Capparis	baducca	0.48
Brassicaceae	Capparis	indica	0.68
Brassicaceae	Capparis	maroniensis	0.67
Brassicaceae	Capparis	osmantha	0.66
Brassicaceae	Capparis	retusa	0.62
Brassicaceae	Capparis	speciosa	0.66
Brassicaceae	Capparis	verrucosa	0.86
Canellaceae	Capsicodendron	dinisii	0.57
Clusiaceae	Caraipa	densifolia	0.64
Clusiaceae	Caraipa	grandifolia	0.78
Clusiaceae	Caraipa	llanorum	0.6
Clusiaceae	Caraipa	punctulata	0.6
Meliaceae	Carapa	procera	0.54
Annonaceae	Cardiopetalum	calophyllum	0.65
Caricaceae	Carica	mexicana	0.16
Lecythidaceae	Cariniana	decandra	0.58
Lecythidaceae	Cariniana	domestica	0.59
Lecythidaceae	Cariniana	estrellensis	0.68
Lecythidaceae	Cariniana	integrifolia	0.51
Lecythidaceae	Cariniana	legalis	0.49
Lecythidaceae	Cariniana	micrantha	0.6
Lecythidaceae	Cariniana	multiflora	0.56
Lecythidaceae	Cariniana	pyriformis	0.53
Lecythidaceae	Cariniana	rubra	0.61
Salicaceae	Carpotroche	longifolia	0.45
Caryocaraceae	Caryocar	brasiliense	0.65
Caryocaraceae	Caryocar	glabrum	0.71
Caryocaraceae	Caryocar	gracile	0.69
Caryocaraceae	Caryocar	microcarpum	0.66
Caryocaraceae	Caryocar	nuciferum	0.69
Caryocaraceae	Caryocar	pallidum	0.68
Caryocaraceae	Caryocar	villosum	0.78
Euphorbiaceae	Caryodendron	amazonicum	0.65
Salicaceae	Casearia	aculeata	0.66
Salicaceae	Casearia	arborea	0.57
Salicaceae	Casearia	decandra	0.67
Salicaceae	Casearia	grandiflora	0.77
Salicaceae	Casearia	guianensis	0.72
Salicaceae	Casearia	javitensis	0.76
Salicaceae	Casearia	negrensis	0.52
Salicaceae	Casearia	nitida	0.67
Salicaceae	Casearia	pitumba	0.73
Salicaceae	Casearia	praecox	0.7
Salicaceae	Casearia	sylvestris	0.71
Salicaceae	Casearia	tremula	0.74
Fabaceae	Cassia	cowanii	0.62
Fabaceae	Cassia	fastuosa	0.9
Fabaceae	Cassia	ferruginea	0.5
Fabaceae	Cassia	fistula	0.9
Fabaceae	Cassia	moschata	0.81
Rhizophoraceae	Cassipourea	guianensis	0.82
Moraceae	Castilla	elastica	0.57
Bignoniaceae	Catalpa	longissima	0.77
Malvaceae	Catostemma	albuquerquei	0.69
Malvaceae	Catostemma	cavalcantei	0.56
Malvaceae	Catostemma	commune	0.52
Malvaceae	Catostemma	fragrans	0.57
Malvaceae	Catostemma	sclerophyllum	0.69
Malvaceae	Cavanillesia	hylogeiton	0.13
Malvaceae	Cavanillesia	platanifolia	0.36
Malvaceae	Cavanillesia	umbellata	0.15
Urticaceae	Cecropia	engleriana	0.49
Urticaceae	Cecropia	ficifolia	0.27
Urticaceae	Cecropia	glaziovi	0.41
Urticaceae	Cecropia	hololeuca	0.43
Urticaceae	Cecropia	insignis	0.32
Urticaceae	Cecropia	latiloba	0.33
Urticaceae	Cecropia	membranacea	0.33
Urticaceae	Cecropia	obtusa	0.31
Urticaceae	Cecropia	obtusifolia	0.31
Urticaceae	Cecropia	pachystachya	0.41
Urticaceae	Cecropia	peltata	0.3
Urticaceae	Cecropia	purpurascens	0.36
Urticaceae	Cecropia	sciadophylla	0.39
Meliaceae	Cedrela	angustifolia	0.36
Meliaceae	Cedrela	fissilis	0.49
Meliaceae	Cedrela	lilloi	0.4
Meliaceae	Cedrela	montana	0.34
Meliaceae	Cedrela	odorata	0.43
Meliaceae	Cedrela	tonduzii	0.36
Fabaceae	Cedrelinga	cateniformis	0.48
Malvaceae	Ceiba	aesculifolia	0.48
Malvaceae	Ceiba	boliviana	0.26
Malvaceae	Ceiba	chodatii	0.2
Malvaceae	Ceiba	erianthos	0.2
Malvaceae	Ceiba	glaziovii	0.59
Malvaceae	Ceiba	insignis	0.25
Malvaceae	Ceiba	occidentalis	0.35
Malvaceae	Ceiba	pentandra	0.31
Malvaceae	Ceiba	samauma	0.52
Malvaceae	Ceiba	speciosa	0.39
Malvaceae	Ceiba	trichistandra	0.32
Euphorbiaceae	Celaenodendron	mexicanum	0.94
Ulmaceae	Celtis	ehrenbergiana	0.69
Ulmaceae	Celtis	iguanaea	0.66
Ulmaceae	Celtis	schippii	0.62
Fabaceae	Cenostigma	macrophyllum	0.97
Fabaceae	Cenostigma	tocantinum	0.84
Fabaceae	Centrolobium	microchaete	0.85
Fabaceae	Centrolobium	ochroxylum	0.69
Fabaceae	Centrolobium	paraense	0.71
Fabaceae	Centrolobium	robustum	0.69
Fabaceae	Centrolobium	tomentosum	0.75
Ochnaceae	Cespedesia	macrophylla	0.59
Ochnaceae	Cespedesia	spathulata	0.61
Euphorbiaceae	Chaetocarpus	schomburgkianus	0.81
Fabaceae	Chamaecrista	adiantifolia	0.83
Fabaceae	Chamaecrista	apoucouita	0.93
Fabaceae	Chamaecrista	scleroxylon	0.96
Olacaceae	Chaunochiton	kappleri	0.52
Olacaceae	Chaunochiton	loranthoides	0.77
Rubiaceae	Chimarrhis	cymosa	0.71
Rubiaceae	Chimarrhis	hookeri	0.71
Rubiaceae	Chimarrhis	microcarpa	0.69
Rubiaceae	Chimarrhis	turbinata	0.72
Olacaceae	Chionanthus	ligustrinus	0.86
Lauraceae	Chlorocardium	rodiei	0.86
Fabaceae	Chloroleucon	mangense	0.99
Fabaceae	Chloroleucon	tenuiflorum	0.49
Fabaceae	Chloroleucon	vinhatico	0.52
Rubiaceae	Chomelia	paniculata	0.62
Rubiaceae	Chomelia	spinosa	0.53
Rubiaceae	Chomelia	venezuelensis	0.52
Malvaceae	Chorisia	integrifolia	0.28
Malvaceae	Chorisia	speciosa	0.29
Sapotaceae	Chromolucuma	rubriflora	0.73
Chrysobalanaceae	Chrysobalanus	icaco	0.75
Clusiaceae	Chrysochlamys	weberbaueri	0.43
Sapotaceae	Chrysophyllum	amazonicum	0.83
Sapotaceae	Chrysophyllum	argenteum	0.78
Sapotaceae	Chrysophyllum	cainito	0.69
Sapotaceae	Chrysophyllum	cuneifolium	0.93
Sapotaceae	Chrysophyllum	gonocarpum	0.67
Sapotaceae	Chrysophyllum	lucentifolium	0.79
Sapotaceae	Chrysophyllum	marginatum	0.7
Sapotaceae	Chrysophyllum	oliviforme	0.77
Sapotaceae	Chrysophyllum	pomiferum	0.77
Sapotaceae	Chrysophyllum	prieurii	0.83
Sapotaceae	Chrysophyllum	sanguinolentum	0.67
Sapotaceae	Chrysophyllum	ucuquirana-branca	0.73
Rubiaceae	Cinchona	pubescens	0.54
Lauraceae	Cinnamomum	porphyrium	0.5
Lauraceae	Cinnamomum	stereophyllum	0.56
Verbenaceae	Citharexylum	affine	0.68
Verbenaceae	Citharexylum	macrophyllum	0.5
Verbenaceae	Citharexylum	spinosum	0.7
Icacinaceae	Citronella	apogon	0.49
Moraceae	Clarisia	biflora	0.5
Moraceae	Clarisia	racemosa	0.57
Fabaceae	Clathrotropis	brachypetala	0.82
Fabaceae	Clathrotropis	brunnea	0.76
Fabaceae	Clathrotropis	macrocarpa	0.78
Euphorbiaceae	Cleidion	prealtum	0.39
Clethraceae	Clethra	mexicana	0.55
Clethraceae	Clethra	ovalifolia	0.49
Clethraceae	Clethra	scabra	0.49
Theaceae	Cleyera	theaeoides	0.63
Clusiaceae	Clusia	alata	0.56
Clusiaceae	Clusia	cambessedii	0.56
Clusiaceae	Clusia	fockeana	0.65
Clusiaceae	Clusia	gundlachii	0.9
Clusiaceae	Clusia	insignis	0.56
Clusiaceae	Clusia	krugiana	0.9
Clusiaceae	Clusia	rosea	0.64
Euphorbiaceae	Cnidoscolus	multilobus	0.29
Euphorbiaceae	Cnidoscolus	phyllacanthus	0.55
Euphorbiaceae	Cnidoscolus	pubescens	0.44
Polygonaceae	Coccoloba	acuminata	0.58
Polygonaceae	Coccoloba	barbadensis	0.71
Polygonaceae	Coccoloba	caracasana	0.43
Polygonaceae	Coccoloba	densifrons	0.58
Polygonaceae	Coccoloba	diversifolia	0.8
Polygonaceae	Coccoloba	latifolia	0.58
Polygonaceae	Coccoloba	lehmannii	0.58
Polygonaceae	Coccoloba	liebmannii	0.8
Polygonaceae	Coccoloba	mollis	0.67
Polygonaceae	Coccoloba	padiformis	0.8
Polygonaceae	Coccoloba	pubescens	1
Polygonaceae	Coccoloba	swartzii	0.7
Polygonaceae	Coccoloba	uvifera	0.7
Cochlospermaceae	Cochlospermum	orinocense	0.22
Cochlospermaceae	Cochlospermum	vitifolium	0.22
Rhamnaceae	Colubrina	arborescens	0.7
Rhamnaceae	Colubrina	elliptica	0.8
Rhamnaceae	Colubrina	glandulosa	0.74
Rhamnaceae	Colubrina	heteroneura	0.97
Rhamnaceae	Colubrina	spinosa	0.49
Rhamnaceae	Colubrina	triflora	0.86
Combretaceae	Combretum	leprosum	0.63
Burseraceae	Commiphora	leptophloeos	0.43
Anacardiaceae	Comocladia	engleriana	0.79
Euphorbiaceae	Conceveiba	guianensis	0.55
Euphorbiaceae	Conceveiba	martiana	0.43
Euphorbiaceae	Conceveiba	pleiostemona	0.27
Connaraceae	Connarus	suberosus	0.45
Combretaceae	Conocarpus	erectus	1
Fabaceae	Copaifera	duckei	0.62
Fabaceae	Copaifera	guyanensis	0.62
Fabaceae	Copaifera	langsdorffii	0.65
Fabaceae	Copaifera	multijuga	0.55
Fabaceae	Copaifera	officinalis	0.6
Fabaceae	Copaifera	pubiflora	0.64
Fabaceae	Copaifera	reticulata	0.61
Arecaceae	Copernicia	alba	0.79
Boraginaceae	Cordia	alliodora	0.53
Boraginaceae	Cordia	bicolor	0.48
Boraginaceae	Cordia	borinquensis	0.7
Boraginaceae	Cordia	cicatricosa	0.41
Boraginaceae	Cordia	collococca	0.42
Boraginaceae	Cordia	dentata	0.5
Boraginaceae	Cordia	dodecandra	0.65
Boraginaceae	Cordia	elaeagnoides	0.88
Boraginaceae	Cordia	exaltata	0.4
Boraginaceae	Cordia	fallax	0.37
Boraginaceae	Cordia	gerascanthus	0.75
Boraginaceae	Cordia	glabrata	0.77
Boraginaceae	Cordia	goeldiana	0.49
Boraginaceae	Cordia	laevifrons	0.33
Boraginaceae	Cordia	lasiocalyx	0.4
Boraginaceae	Cordia	lomatoloba	0.41
Boraginaceae	Cordia	megalantha	0.39
Boraginaceae	Cordia	nodosa	0.39
Boraginaceae	Cordia	sagotii	0.43
Boraginaceae	Cordia	scabrifolia	0.47
Boraginaceae	Cordia	sebestena	0.7
Boraginaceae	Cordia	seleriana	0.78
Boraginaceae	Cordia	sericicalyx	0.39
Boraginaceae	Cordia	sonorae	0.81
Boraginaceae	Cordia	sulcata	0.6
Boraginaceae	Cordia	tetrandra	0.35
Boraginaceae	Cordia	trichotoma	0.6
Boraginaceae	Cordia	ucayaliensis	0.41
Cornaceae	Cornus	disciflora	0.53
Cornaceae	Cornus	peruviana	0.56
Verbenaceae	Cornutia	grandiflora	0.6
Lecythidaceae	Corythophora	alta	0.71
Lecythidaceae	Corythophora	rimosa	0.81
Chrysobalanaceae	Couepia	bracteosa	0.77
Chrysobalanaceae	Couepia	caryophylloides	0.77
Chrysobalanaceae	Couepia	elata	0.77
Chrysobalanaceae	Couepia	guianensis	0.75
Chrysobalanaceae	Couepia	hostmanniana	0.77
Chrysobalanaceae	Couepia	longipendula	0.94
Chrysobalanaceae	Couepia	paraensis	0.85
Chrysobalanaceae	Couepia	polyandra	0.74
Chrysobalanaceae	Couepia	ulei	0.79
Apocynaceae	Couma	guianensis	0.47
Apocynaceae	Couma	macrocarpa	0.5
Apocynaceae	Couma	utilis	0.66
Lecythidaceae	Couratari	asterotricha	0.51
Lecythidaceae	Couratari	guianensis	0.51
Lecythidaceae	Couratari	longipedicellata	0.54
Lecythidaceae	Couratari	macrosperma	0.67
Lecythidaceae	Couratari	multiflora	0.45
Lecythidaceae	Couratari	oblongifolia	0.5
Lecythidaceae	Couratari	stellata	0.63
