"","Tag.No","Old.No","T1","T2","X","Y","Family","genus","species","Old.Tree.Notes","D..2013.1","POM..2013.1","F1..2013.1","F2..2013.1","Height..2013.1","F5..2013.1","F3..2013.1","F4..2013.1","LI..2013.1","CI..2013.1","Census.Notes..2013.1","D..2014.2","POM..2014.2","F1","F2","Height..2014.2","F5","F3","F4","LI..2014.2","CI..2014.2","Tree.ID","D..2015.1","POM..2015.1","F1.1","F2.1","Height..2015.1","F5.1","F3.1","F4.1","LI..2015.1","CI..2015.1","Census.Notes","Tree.ID.1","New.Tag.No","wdensity","height","density","tag","plot","DBH.1","DBH.2","DBH.3","dbh_growth_yr","recruits","srink","missing","overgrown","value_replaced"
"30",30,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,115,1300,"a",1,8,4,0,0,0,1,NA,116,1300,"a","1",NA,NA,0,0,NA,NA,1105412,116,1300,"a","1",8000,NA,0,0,0,"1",NA,1105412,NA,0.639235706846016,8,0.639235706846016,"30","ACJ-01",11.5,11.6,11.6,0.0875299760191843,"ok","ok","ok","ok",NA
"31",31,NA,1,NA,NA,NA,"Rosaceae","Polylepis","pauta",NA,355,1300,"a",1,7,4,0,0,0,1,NA,355,1300,"c","1",NA,NA,0,0,NA,NA,1105413,358,1300,"c","1",9000,NA,0,0,1,"3b",NA,1105413,NA,0.669763012681063,8,0.669763012681063,"31","ACJ-01",35.5,35.5,35.8,0,"ok","ok","ok","ok",NA
"32",32,NA,1,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,331,1300,"a",1,11,4,0,0,0,1,NA,339,1300,"a","1",NA,NA,0,0,NA,NA,1105414,340,1300,"a","1",9000,NA,0,0,0,"4",NA,1105414,NA,0.540014577613546,10,0.540014577613546,"32","ACJ-01",33.1,33.9,34,0.700239808153475,"ok","ok","ok","ok",NA
"33",33,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,240,1300,"a",1,6,4,0,0,0,1,NA,240,1300,"c","1",NA,NA,0,0,NA,NA,1105415,206,1300,"cz","1",8000,NA,0,0,0,"3b",NA,1105415,NA,0.639235706846016,7,0.639235706846016,"33","ACJ-01",24,24,24,0,"ok","shrunk.dbh.3","ok","ok",NA
"34",34,NA,1,NA,NA,NA,"Clethraceae","Clethra","indet",NA,137,1300,"a",1,7,4,0,0,0,1,NA,140,1300,"c","1",NA,NA,0,0,NA,NA,1105416,140,1300,"c","1",8000,NA,0,0,0,"3a",NA,1105416,NA,0.540014577613546,7.5,0.540014577613546,"34","ACJ-01",13.7,14,14,0.262589928057555,"ok","ok","ok","ok",NA
"35",35,NA,1,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,266,1300,"a",1,9,4,0,0,0,1,NA,221,1300,"a","1",NA,NA,0,0,NA,NA,1105417,275,1300,"a","1",10000,NA,0,0,0,"4",NA,1105417,NA,0.540014577613546,9.5,0.540014577613546,"35","ACJ-01",26.6,26.6,27.5,-3.93884892086331,"ok","shrunk.dbh.2","ok","ok",NA
"36",36,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,326,1300,"a",1,12,4,0,0,0,1,NA,330,1300,"a","1",NA,NA,0,0,NA,NA,1105418,344,1300,"a","1",10000,NA,0,0,0,"3b",NA,1105418,NA,0.639235706846016,11,0.639235706846016,"36","ACJ-01",32.6,33,34.4,0.350119904076737,"ok","ok","ok","ok",NA
"37",37,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,166,1300,"a",1,8,4,0,0,0,1,NA,166,1300,"c","1",NA,NA,0,0,NA,NA,1105419,165,1300,"a","1",9000,NA,0,0,0,"2c",NA,1105419,NA,0.639235706846016,8.5,0.639235706846016,"37","ACJ-01",16.6,16.6,16.5,0,"ok","ok","ok","ok",NA
"38",38,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,418,1300,"a",1,9,4,0,0,0,1,NA,413,1300,"c","1",NA,NA,0,0,NA,NA,1105420,415,1300,"c","1",9000,NA,0,0,1,"3b",NA,1105420,NA,0.639235706846016,9,0.639235706846016,"38","ACJ-01",41.8,41.3,41.5,-0.437649880095923,"ok","ok","ok","ok",NA
"39",39,NA,1,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,186,1300,"a",1,9,4,0,0,0,1,NA,189,1300,"a","1",NA,NA,0,0,NA,NA,1105421,190,1300,"a","1",7000,NA,0,0,1,"4",NA,1105421,NA,0.639235706846016,8,0.639235706846016,"39","ACJ-01",18.6,18.9,19,0.262589928057551,"ok","ok","ok","ok",NA
"40",40,NA,1,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,320,1300,"a",1,9,4,0,0,0,1,NA,323,1300,"c","1",NA,NA,0,0,NA,NA,1105422,326,1300,"c","1",8000,NA,0,0,0,"4",NA,1105422,NA,0.540014577613546,8.5,0.540014577613546,"40","ACJ-01",32,32.3,32.6,0.262589928057551,"ok","ok","ok","ok",NA
"41",41,NA,1,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,215,1300,"a",1,12,4,0,0,0,1,NA,223,1300,"a","1",NA,NA,0,0,NA,NA,1105423,228,1300,"a","1",9000,NA,0,0,0,"4",NA,1105423,NA,0.540014577613546,10.5,0.540014577613546,"41","ACJ-01",21.5,22.3,22.8,0.700239808153478,"ok","ok","ok","ok",NA
"42",42,NA,2,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,180,1300,"a",1,9,4,0,0,0,1,NA,181,1300,"a","1",NA,NA,0,0,NA,NA,1105424,184,1300,"a","1",9000,NA,0,0,0,"2c",NA,1105424,NA,0.540014577613546,9,0.540014577613546,"42","ACJ-01",18,18.1,18.4,0.0875299760191859,"ok","ok","ok","ok",NA
