Plot,TypeMeas,Tipo,Subplot,Meas,DD,MM,YY,Id,Subplot,Tubo,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,8,30,10,8,44,445,0,0,0,0,0,23,33,0.56,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,9,30,10,8,44,447,0,0,0,0,0,25,38,0.53,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,10,30,10,8,44,449,0,0,0,0,0,27,43,0.51,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,11,30,10,8,44,452,0,0,0,0,0,29,48,0.49,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,12,30,10,8,45,455,0,0,0,0,0,31,52,0.48,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,13,30,10,8,45,457,0,0,0,0,0,33,57,0.47,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,14,30,10,8,45,459,0,0,0,0,0,35,62,0.46,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,15,30,10,8,45,462,0,0,0,0,0,37,67,0.46,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,16,30,10,8,45,464,0,0,0,0,0,40,72,0.45,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,17,30,10,8,45,466,0,0,0,0,0,42,76,0.44,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,18,30,10,8,45,469,0,0,0,0,0,44,81,0.44,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,19,30,10,8,45,471,0,0,0,0,0,46,86,0.44,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,20,30,10,8,45,474,0,0,0,0,0,49,91,0.43,0,0,856,8,
SPI,COMP,MNH,1,1,30,10,11,SPI_COMP_MNH_1_1_301011,1,4,1,4,21,30,10,8,45,477,0,0,0,0,0,51,96,0.43,0,0,856,8,a
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,1,30,10,8,48,411,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,2,30,10,8,48,414,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,3,30,10,8,48,415,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,4,30,10,8,48,417,0,0,0,0,0,5,14,0.31,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,5,30,10,8,48,417,0,0,0,0,0,6,19,0.26,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,6,30,10,8,48,418,0,0,0,0,0,6,24,0.22,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,7,30,10,8,48,419,0,0,0,0,0,7,28,0.2,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,8,30,10,8,48,420,0,0,0,0,0,7,33,0.19,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,9,30,10,8,48,420,0,0,0,0,0,8,38,0.17,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,10,30,10,8,48,421,0,0,0,0,0,9,43,0.17,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,11,30,10,8,48,421,0,0,0,0,0,9,48,0.16,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,12,30,10,8,48,422,0,0,0,0,0,10,52,0.15,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,13,30,10,8,48,423,0,0,0,0,0,10,57,0.14,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,14,30,10,8,49,424,0,0,0,0,0,11,62,0.14,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,15,30,10,8,49,424,0,0,0,0,0,11,67,0.14,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,16,30,10,8,49,425,0,0,0,0,0,12,72,0.13,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,17,30,10,8,49,426,0,0,0,0,0,12,76,0.13,0,0,856,8,
