Plot,TypeMeas,Tipo,Subplot,Tubo,Meas,DD,MM,YY,Id,Tubo,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,24,30,10,10,36,435,0,0,0,0,0,17,110,0.13,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,25,30,10,10,36,436,0,0,0,0,0,18,115,0.13,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,26,30,10,10,36,437,0,0,0,0,0,19,120,0.13,0,0,856,8,
SPI,CTRL,SD,13,2,1,30,10,11,SPI_CTRL_SD_13_2_1_301011,2,1,22,27,30,10,10,37,438,0,0,0,0,0,20,124,0.13,0,0,856,8,a
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,1,30,10,10,38,413,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,2,30,10,10,38,415,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,3,30,10,10,39,416,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,4,30,10,10,39,417,0,0,0,0,0,3,14,0.17,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,5,30,10,10,39,417,0,0,0,0,0,3,19,0.15,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,6,30,10,10,39,418,0,0,0,0,0,3,24,0.13,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,7,30,10,10,39,418,0,0,0,0,0,4,28,0.12,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,8,30,10,10,39,419,0,0,0,0,0,4,33,0.11,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,9,30,10,10,39,419,0,0,0,0,0,4,38,0.1,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,10,30,10,10,39,419,0,0,0,0,0,5,43,0.09,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,11,30,10,10,39,420,0,0,0,0,0,5,48,0.09,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,12,30,10,10,39,420,0,0,0,0,0,5,52,0.09,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,13,30,10,10,39,421,0,0,0,0,0,6,57,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,14,30,10,10,39,422,0,0,0,0,0,6,62,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,15,30,10,10,39,422,0,0,0,0,0,7,67,0.08,0,0,856,8,
